,pred_N,pred_S,pred_V,pred_F
true_N,10083.0,526.0,1248.5,142.5
true_S,158.0,82.0,139.0,3.0
true_V,98.0,21.5,578.0,44.5
true_F,6.5,0.5,5.0,6.0
