,pred_N,pred_S,pred_V,pred_F
true_N,10593.5,13.5,1378.0,15.0
true_S,61.5,103.5,217.0,0.0
true_V,153.0,57.5,524.0,7.5
true_F,10.5,0.0,4.0,3.5
