,pred_N,pred_S,pred_V,pred_F
true_N,10924.0,11.0,1059.0,6.0
true_S,87.0,104.0,190.5,0.5
true_V,150.0,38.5,550.0,3.5
true_F,11.5,0.0,3.5,3.0
