epoch,critic_loss,generator_loss,gradient_penalty
1,8.722849146525066,-0.027662828254203003,0.8793590029080709
2,2.7060557454514007,-0.47478079174955684,0.30771403421337407
3,-0.4796173334121704,-1.4106664260228474,0.0026533872490593544
4,-1.7189268430074056,-0.9082543154557546,0.012353582897533973
5,-2.3522722721099854,-0.36555542051792145,0.017090156301856042
6,-2.581648310025533,0.4781777386864026,0.014580800229062637
7,-3.0128275632858275,1.0554344356060028,0.01928491753836473
8,-3.1563941796620685,1.9853436350822449,0.030989892408251764
9,-3.003382754325867,2.577089508374532,0.029785417889555296
10,-2.8487202246983845,2.6866694688796997,0.02628836054354906
11,-2.6716976245244344,2.6501389741897583,0.023593148154517015
12,-2.5131815989812214,2.583338181177775,0.021864373640467723
13,-2.373938218752543,2.480473756790161,0.01916864455367128
14,-2.198051913579305,2.436557332674662,0.017447155124197405
15,-2.0856529474258423,2.262021621068319,0.01636075396090746
16,-1.9051534334818523,2.1201428373654685,0.01453031130755941
17,-1.7914230465888976,2.021580696105957,0.013717858182887236
18,-1.6452802975972494,1.8596616784731548,0.012448509192715089
19,-1.554487657546997,1.7608030835787456,0.011348038725554944
20,-1.4314313848813376,1.6356876095136006,0.010308973537757993
21,-1.3260313272476196,1.6264014442761738,0.009536022087559104
22,-1.2324756185213726,1.5605470538139343,0.009128022535393635
23,-1.1295887549718222,1.383473813533783,0.009118741424754263
24,-1.0742985427379608,1.3826472361882527,0.008453427798425157
25,-1.0038480460643768,1.2912563681602478,0.008530999844272932
26,-0.9544287343819936,1.2383173008759816,0.007402339422454437
27,-0.8956284721692404,1.2278081675370534,0.007678742241114378
28,-0.8524173140525818,1.1611518661181133,0.0071576744162788
29,-0.812015833457311,1.0338263014952342,0.007387772730241219
30,-0.78062531153361,1.0668715139230092,0.006721740417803327
31,-0.7461952428023021,1.0398862659931183,0.0066012141294777395
32,-0.7220767060915629,0.9089697500069936,0.0060291751675928635
33,-0.683323186635971,0.8989183306694031,0.006728685771425565
34,-0.6587785800298055,0.7966148753960928,0.005501998138303558
35,-0.6294051051139832,0.7742269138495127,0.00634055509387205
36,-0.601012510061264,0.6741093099117279,0.006343908452739318
37,-0.5829561392466227,0.7201809088389078,0.00615391389777263
38,-0.5606806139151256,0.6895637512207031,0.006120797960708539
39,-0.5388667196035385,0.6190190215905508,0.005463976063765585
40,-0.5265024145444234,0.6487182627121607,0.005528592667542398
41,-0.518497230609258,0.6128603021303812,0.005369956356783708
42,-0.4907533516486486,0.6462070147196451,0.005834403494372964
43,-0.4867947260538737,0.5102629611889521,0.005546358662346999
44,-0.4501561403274536,0.530517448981603,0.005434484950577219
45,-0.4629118760426839,0.5090464601914088,0.004402118044284483
46,-0.4440137058496475,0.5109853347142538,0.006401235253239671
47,-0.4335358142852783,0.4924350877602895,0.005655087825531761
48,-0.4248272140820821,0.566675454378128,0.005162128829397261
49,-0.42140996356805166,0.4838667617489894,0.00508100976391385
50,-0.41498811841011046,0.5748685350020727,0.0059002023112649715
51,-0.4105900754531225,0.5431722203890482,0.005674086860381067
52,-0.394779634475708,0.47589506457249325,0.005123168183490634
53,-0.3720354338486989,0.45509861906369525,0.005565928054663042
54,-0.3811900198459625,0.39447712898254395,0.005647136573679745
55,-0.3781048854192098,0.4429865926504135,0.005254759212645391
56,-0.3719562371571859,0.5570077747106552,0.005179206227573256
57,-0.3643295466899872,0.380294327934583,0.0050362331637491785
58,-0.36660401622454325,0.4695131580034892,0.0050379538908600805
59,-0.36773178378740945,0.4127550820509593,0.004860588101049264
60,-0.35973018606503804,0.4138101289669673,0.006245123377690713
61,-0.3520879407723745,0.3638101617495219,0.005684779475753506
62,-0.3541165212790171,0.4501289774974187,0.005007478152401745
63,-0.34742651631434757,0.3979729811350505,0.005497317598201335
64,-0.33664244910081226,0.4336565484603246,0.00542433513328433
65,-0.34407852292060853,0.47853996853033703,0.00494775811675936
66,-0.34597590466340383,0.4244651074210803,0.005420718644745648
67,-0.34282990992069245,0.36973997205495834,0.0050511296217640245
68,-0.33626721103986107,0.4632103393475215,0.0051828751806169745
69,-0.33372136851151785,0.41504935423533124,0.005138874961994588
70,-0.32833757301171623,0.47546736399332684,0.005705245141871274
71,-0.3329500824213028,0.401014968752861,0.005382812054206928
72,-0.33614105482896167,0.48124920825163525,0.004818723692248265
73,-0.34052774012088777,0.45313789943854016,0.005408081264855961
74,-0.32658231804768245,0.46372199555238086,0.005730961969432732
75,-0.3236931656797727,0.37444202850262326,0.005349659593775868
76,-0.3386310080687205,0.3808116639653842,0.005259322506996493
77,-0.32687661051750183,0.45387162268161774,0.0057384755850459135
78,-0.3229243407646815,0.39855873336394626,0.005197366257198155
79,-0.3292062987883886,0.37950269505381584,0.005753596755675971
80,-0.32988236993551256,0.4657797614733378,0.005914906753847996
81,-0.313017097612222,0.3278718317548434,0.0058464641915634274
82,-0.32660863002141316,0.42952101677656174,0.0054926630497599644
83,-0.31801511645317077,0.4729769031206767,0.006022704714753976
84,-0.31882285376389824,0.38510044912497204,0.005999709626970192
85,-0.31566768884658813,0.4729728400707245,0.0057092051487416026
86,-0.3178605948885282,0.5008200506369272,0.0054713117967670165
87,-0.3180433024962743,0.38433966040611267,0.005854110520643493
88,-0.3211622526248296,0.4303818146387736,0.006034546244579057
89,-0.3225542848308881,0.3657848487297694,0.005343300631890694
90,-0.3173741226394971,0.4752867768208186,0.005863431522933145
91,-0.31170754532019296,0.45572635034720105,0.005913423909805715
92,-0.32068036844333014,0.2912074228127797,0.005874867923557759
93,-0.3251770754655202,0.44050272802511853,0.005666337146734198
94,-0.3189287379384041,0.4503867526849111,0.00606289963858823
95,-0.3156342938542366,0.35379788279533386,0.006423801633839806
96,-0.32013475745916364,0.44345444440841675,0.0056589411416401465
97,-0.3136228024959564,0.42738186071316403,0.005900369483667115
98,-0.3060632308324178,0.3352171902855237,0.005845741873296599
99,-0.30825186570485436,0.4379243403673172,0.005915807381582757
