,pred_N,pred_S,pred_V,pred_F
true_N,11812.5,12.5,135.0,40.0
true_S,286.0,81.5,13.5,1.0
true_V,142.0,52.0,544.5,3.5
true_F,11.0,0.0,2.5,4.5
