,pred_N,pred_S,pred_V,pred_F
true_N,10578.5,11.5,1357.0,53.0
true_S,92.5,95.0,194.0,0.5
true_V,179.0,48.0,507.5,7.5
true_F,11.0,0.0,2.5,4.5
