,pred_N,pred_S,pred_V,pred_F
true_N,11287.0,69.5,633.5,10.0
true_S,303.0,27.5,51.5,0.0
true_V,120.0,13.0,604.5,4.5
true_F,10.5,0.0,4.5,3.0
