,pred_N,pred_S,pred_V,pred_F
true_N,11746.5,52.5,153.0,48.0
true_S,252.0,52.5,76.5,1.0
true_V,109.5,27.0,558.5,47.0
true_F,10.0,0.0,2.5,5.5
