,pred_N,pred_S,pred_V,pred_F
true_N,10136.5,37.5,893.0,933.0
true_S,129.5,67.5,181.5,3.5
true_V,57.0,23.0,619.0,43.0
true_F,3.5,0.0,5.0,9.5
