,pred_N,pred_S,pred_V,pred_F
true_N,9612.9,3.3,1285.4,1098.4
true_S,131.5,132.5,108.8,9.2
true_V,147.1,31.6,544.2,19.1
true_F,8.8,0.0,6.4,2.8
