candidate_id,model_id,domain,trial_number,roles,seed,n_parameters,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4000,328228,7,31.212644577026367,"[[11655, 18, 21, 306], [217, 58, 101, 6], [81, 32, 610, 19], [8, 0, 3, 7]]",0.5187225081523757,0.1380302682870901,0.03932584269662921,0.9728308501314636,0.23673469387755103,0.8259986459038592,0.03932584269662921,0.5370370370370371,0.020710059171597635,0.1518324607329843,0.3888888888888889
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4001,328228,8,32.86815094947815,"[[11178, 87, 702, 33], [156, 84, 140, 2], [48, 6, 682, 6], [2, 0, 10, 6]]",0.510121846586294,0.24257602862254027,0.18461538461538463,0.9560383167978105,0.3005366726296959,0.5992970123022847,0.18461538461538463,0.4745762711864407,0.1276595744680851,0.2198952879581152,0.3333333333333333
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4002,328228,10,37.18039274215698,"[[10960, 9, 1002, 29], [146, 131, 105, 0], [79, 34, 558, 71], [10, 0, 6, 2]]",0.4780206078447286,0.2522781774580336,0.03333333333333333,0.9450312567363656,0.4712230215827338,0.46249481972648154,0.03333333333333333,0.7528735632183908,0.0196078431372549,0.34293193717277487,0.1111111111111111
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4003,328228,7,30.749886751174927,"[[11808, 4, 79, 109], [167, 52, 160, 3], [192, 24, 515, 11], [12, 0, 1, 5]]",0.48958986486254136,0.1468006878965783,0.0684931506849315,0.9767153314860002,0.22510822510822512,0.6880427521710086,0.0684931506849315,0.65,0.0390625,0.13612565445026178,0.2777777777777778
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4004,328228,8,32.896525144577026,"[[11814, 15, 117, 54], [198, 65, 119, 0], [84, 50, 604, 4], [4, 0, 10, 4]]",0.5232787894021456,0.176953125,0.1,0.9804149377593361,0.25390625,0.7587939698492462,0.1,0.5,0.06451612903225806,0.17015706806282724,0.2222222222222222
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4005,328228,9,35.03223204612732,"[[11687, 44, 75, 194], [212, 62, 108, 0], [155, 36, 540, 11], [8, 0, 2, 8]]",0.503377201932042,0.15295264531905753,0.06926406926406926,0.9714071980716482,0.2366412213740458,0.7361963190184049,0.06926406926406926,0.43661971830985913,0.03755868544600939,0.16230366492146597,0.4444444444444444
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4006,328228,8,32.8044867515564,"[[11515, 5, 211, 269], [120, 78, 184, 0], [45, 15, 674, 8], [4, 0, 7, 7]]",0.5213045461303535,0.18567880794701988,0.046357615894039736,0.972386421212633,0.325,0.7414741474147415,0.046357615894039736,0.7959183673469388,0.02464788732394366,0.20418848167539266,0.3888888888888889
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4007,328228,5,26.389084577560425,"[[11701, 24, 232, 43], [225, 45, 111, 1], [179, 3, 544, 16], [6, 0, 5, 7]]",0.4998471938865537,0.1814718839077481,0.16470588235294117,0.9705943345361039,0.19823788546255505,0.6658506731946144,0.16470588235294117,0.625,0.1044776119402985,0.11780104712041885,0.3888888888888889
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4008,328228,8,32.96478295326233,"[[11431, 89, 194, 286], [159, 47, 175, 1], [55, 14, 666, 7], [4, 0, 11, 3]]",0.4768568571506199,0.09786967418546366,0.01904761904761905,0.9667216372785319,0.17669172932330826,0.7449664429530202,0.01904761904761905,0.31333333333333335,0.010101010101010102,0.12303664921465969,0.16666666666666666
BILSTM1D_T24_BOTH,BILSTM1D,RAW_1D,24,balanced_minrare_all_unique;rare_priority,4009,328228,4,24.100868940353394,"[[11477, 414, 76, 33], [256, 45, 78, 3], [191, 10, 530, 11], [14, 0, 2, 2]]",0.4666625380390773,0.0827297121911009,0.05970149253731343,0.9588938090066004,0.10575793184488837,0.742296918767507,0.05970149253731343,0.09594882729211088,0.04081632653061224,0.11780104712041885,0.1111111111111111
