domain,metric,candidate_a,model_a,candidate_b,model_b,n_paired_seeds,mean_a,mean_b,mean_difference_a_minus_b,median_difference_a_minus_b,wins_a,ties,wins_b,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.04172123858995948,0.004296254687782238,0.03742498390217725,0.021895036716699606,7,1,2,0.02734375,0.30078125,False
RAW_1D,Macro_F1,CNN1D_T33_BALANCED,CNN1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.3390574927196062,0.43894740541248956,-0.09988991269288335,-0.09705663018357444,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,CNN1D_T33_BALANCED,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.10805268825866905,0.11598335220639311,-0.00793066394772406,-0.006208653408587353,4,0,6,0.845703125,1.0,False
RAW_1D,Min_Rare_F1,CNN1D_T33_BALANCED,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.04172123858995948,0.01121656459232633,0.03050467399763316,0.006623414552952754,6,0,4,0.232421875,1.0,False
RAW_1D,Macro_F1,CNN1D_T33_BALANCED,CNN1D,CNN_BILSTM1D_T16_BOTH,CNN_BILSTM1D,10,0.3390574927196062,0.4309318757328972,-0.09187438301329096,-0.06300517352062676,0,0,10,0.001953125,0.029296875,True
RAW_1D,Rare_Macro_SF,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.16573410108146322,0.242186692874456,-0.0764525917929928,-0.0628168947810368,1,0,9,0.005859375,0.05859375,False
RAW_1D,Min_Rare_F1,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.07848443904262613,0.011244919782546886,0.06723951926007925,0.050505894909682894,10,0,0,0.001953125,0.029296875,True
RAW_1D,Macro_F1,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T30_BALANCED,TRANSFORMER1D,10,0.49877819539867324,0.44451267040863945,0.054265524990033655,0.061923867082580186,8,0,2,0.01953125,0.1171875,False
RAW_1D,Rare_Macro_SF,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.16573410108146322,0.19741509912530691,-0.0316809980438437,-0.020055793266960595,4,0,6,0.16015625,0.640625,False
RAW_1D,Min_Rare_F1,BILSTM1D_T24_BOTH,BILSTM1D,TRANSFORMER1D_T31_RARE,TRANSFORMER1D,10,0.07848443904262613,0.004296254687782238,0.0741881843548439,0.05819347272459072,10,0,0,0.001953125,0.029296875,True
