,pred_N,pred_S,pred_V,pred_F
true_N,10827.5,16.0,1134.4,22.1
true_S,98.2,98.4,183.9,1.5
true_V,150.0,32.1,545.2,14.7
true_F,10.7,0.5,2.7,4.1
