metric,candidate_a,candidate_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,CI95_low,CI95_high,cohens_dz,p_ttest,p_wilcoxon,p_ttest_holm,p_wilcoxon_holm
Rare_Macro_SF,STFT_T29_BALANCED,CWT_T42_RARE,10,0.049939592915247355,0.05674234756367411,-0.006802754648426769,-0.05570596804636766,0.04210045874951412,-0.09951079242783001,0.760177014901134,0.921875,1.0,1.0
Rare_Macro_SF,STFT_T29_BALANCED,CWT_T39_BALANCED,10,0.049939592915247355,0.09021607932114326,-0.04027648640589591,-0.06217238824979429,-0.01838058456199752,-1.3158655398079453,0.0024435977161476755,0.009765625,0.03909756345836281,0.146484375
Rare_Macro_SF,STFT_T29_BALANCED,DWT_T7_RARE,10,0.049939592915247355,0.04217167515523464,0.00776791776001271,-0.006643208573063206,0.022179044093088626,0.38559328995823994,0.25370155804171607,0.083984375,1.0,0.923828125
Rare_Macro_SF,STFT_T29_BALANCED,DWT_T39_BALANCED,10,0.049939592915247355,0.031877903727728626,0.01806168918751873,0.0009759808921114832,0.035147397482925974,0.7562199863601549,0.0404658999364955,0.064453125,0.5236138348588507,0.7734375
Rare_Macro_SF,STFT_T29_BALANCED,SWT_T25_RARE,10,0.049939592915247355,0.01403210775980811,0.03590748515543925,0.024342102485644612,0.04747286782523388,2.22099589922807,6.16360749116553e-05,0.001953125,0.0012327214982331062,0.041015625
Rare_Macro_SF,STFT_T29_BALANCED,SWT_T0_BALANCED,10,0.049939592915247355,0.05971966384806936,-0.00978007093282201,-0.04085344103358993,0.021293299167945902,-0.22515231724663026,0.4945098186558935,0.556640625,1.0,1.0
Rare_Macro_SF,CWT_T42_RARE,CWT_T39_BALANCED,10,0.05674234756367411,0.09021607932114326,-0.033473731757469136,-0.08163659569395913,0.014689132179020861,-0.49718108984305276,0.15034816968891138,0.193359375,1.0,1.0
Rare_Macro_SF,CWT_T42_RARE,DWT_T7_RARE,10,0.05674234756367411,0.04217167515523464,0.014570672408439478,-0.03130784518298496,0.060449189999863914,0.22719197741077923,0.4907130245596838,0.921875,1.0,1.0
Rare_Macro_SF,CWT_T42_RARE,DWT_T39_BALANCED,10,0.05674234756367411,0.031877903727728626,0.0248644438359455,-0.022492166416935744,0.07222105408882674,0.37559596256196653,0.2653356981369543,0.232421875,1.0,1.0
Rare_Macro_SF,CWT_T42_RARE,SWT_T25_RARE,10,0.05674234756367411,0.01403210775980811,0.042710239803866006,0.0023557999274218117,0.0830646796803102,0.7571178064584697,0.04027798729683467,0.03125,0.5236138348588507,0.40625
Rare_Macro_SF,CWT_T42_RARE,SWT_T0_BALANCED,10,0.05674234756367411,0.05971966384806936,-0.002977316284395243,-0.05725341830506209,0.0512987857362716,-0.03924091241008235,0.9039707553003322,1.0,1.0,1.0
Rare_Macro_SF,CWT_T39_BALANCED,DWT_T7_RARE,10,0.09021607932114326,0.04217167515523464,0.04804440416590862,0.026662214272438988,0.06942659405937825,1.607360915107875,0.0006602194261086615,0.00390625,0.011223730243847246,0.0703125
Rare_Macro_SF,CWT_T39_BALANCED,DWT_T39_BALANCED,10,0.09021607932114326,0.031877903727728626,0.05833817559341464,0.0414776312010747,0.07519871998575459,2.4751642546292563,2.6343707613358857e-05,0.001953125,0.000553217859880536,0.041015625
Rare_Macro_SF,CWT_T39_BALANCED,SWT_T25_RARE,10,0.09021607932114326,0.01403210775980811,0.07618397156133515,0.05136874050575531,0.10099920261691499,2.1961806464730076,6.72229922979884e-05,0.001953125,0.0012772368536617795,0.041015625
Rare_Macro_SF,CWT_T39_BALANCED,SWT_T0_BALANCED,10,0.09021607932114326,0.05971966384806936,0.030496415473073895,-0.0027979220743125192,0.0637907530204603,0.6552411918544272,0.0681368634588161,0.083984375,0.681368634588161,0.923828125
Rare_Macro_SF,DWT_T7_RARE,DWT_T39_BALANCED,10,0.04217167515523464,0.031877903727728626,0.01029377142750602,2.3698559281047638e-06,0.020585172999083936,0.7155216350383704,0.04995744646436653,0.02734375,0.5495319111080318,0.3828125
Rare_Macro_SF,DWT_T7_RARE,SWT_T25_RARE,10,0.04217167515523464,0.01403210775980811,0.02813956739542653,0.01646281472290568,0.03981632006794738,1.7239239737615282,0.000404862204084859,0.00390625,0.007287519673527462,0.0703125
Rare_Macro_SF,DWT_T7_RARE,SWT_T0_BALANCED,10,0.04217167515523464,0.05971966384806936,-0.01754798869283472,-0.049363143889173504,0.014267166503504063,-0.3945627428235585,0.24362113498983445,0.322265625,1.0,1.0
Rare_Macro_SF,DWT_T39_BALANCED,SWT_T25_RARE,10,0.031877903727728626,0.01403210775980811,0.017845795967920512,0.0014151509210845459,0.03427644101475648,0.7769697021705894,0.036337405144868475,0.083984375,0.5087236720281586,0.923828125
