candidate_id,method,source_trial,role,seed,train_subset_seed,n_train,n_val,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F,best_epoch,time_s,config_json
CWT_T42_RARE,CWT,42,rare_priority,1000,20260810,4958,13142,0.33776592399408023,0.17965421426366163,0.004878048780487805,0.7805165471864873,0.35443037974683544,0.21123872026251025,0.004878048780487805,0.448,0.002551020408163265,0.2931937172774869,0.05555555555555555,8,89.13843393325806,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1001,20260810,4958,13142,0.3226068917719326,0.0103359173126615,0.0,0.9045383411580594,0.020671834625323,0.3652173913043478,0.0,0.8,0.0,0.010471204188481676,0.0,1,44.364588499069214,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1002,20260810,4958,13142,0.31195845159361413,0.02818489289740699,0.0,0.8711437002593222,0.05636978579481398,0.3203203203203203,0.0,0.04950495049504951,0.0,0.06544502617801047,0.0,2,51.33832931518555,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1003,20260810,4958,13142,0.3100689363415877,0.0,0.0,0.9092625976478668,0.0,0.33101314771848417,0.0,0.0,0.0,0.0,0.0,1,44.54354286193848,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1004,20260810,4958,13142,0.30656656450107195,0.0862201839498686,0.020833333333333332,0.7883922485149479,0.15160703456640387,0.2654336415896026,0.020833333333333332,0.09865824782951854,0.01282051282051282,0.32722513089005234,0.05555555555555555,4,63.74285435676575,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1005,20260810,4958,13142,0.3200500474199155,0.049188640973630834,0.0,0.8284804793558656,0.09837728194726167,0.3533424283765348,0.0,0.0610062893081761,0.0,0.25392670157068065,0.0,2,51.02905058860779,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1006,20260810,4958,13142,0.3116986466825368,0.1299342105263158,0.0,0.7693153973095964,0.2598684210526316,0.21761076836791923,0.0,0.3495575221238938,0.0,0.20680628272251309,0.0,6,75.90446519851685,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1007,20260810,4958,13142,0.2982705210230545,0.08390541571319603,0.0,0.7891156462585034,0.16781083142639205,0.23615560640732267,0.0,0.11840688912809473,0.0,0.2879581151832461,0.0,3,58.045753955841064,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1008,20260810,4958,13142,0.32029633306759836,0.0,0.0,0.9294265383005441,0.0,0.35175879396984927,0.0,0.0,0.0,0.0,0.0,1,44.850258350372314,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T42_RARE,CWT,42,rare_priority,1009,20260810,4958,13142,0.3088545830041703,0.0,0.0,0.8978344393992316,0.0,0.33758389261744964,0.0,0.0,0.0,0.0,0.0,1,44.321123361587524,"{""method"": ""CWT"", ""image_size"": [192, 192], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""morl"", ""scale_min"": 4.0, ""scale_max"": 20.0, ""scale_type"": ""logarithmic"", ""num_scales"": 48}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1000,20260810,4958,13142,0.3781149077421921,0.11300639658848614,0.0,0.9111999648490707,0.2260127931769723,0.37524687294272546,0.0,0.6091954022988506,0.0,0.1387434554973822,0.0,1,25.94539499282837,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1001,20260810,4958,13142,0.3825689518312741,0.1270549809471965,0.03592814371257485,0.9065856664905794,0.21818181818181817,0.3695801789401239,0.03592814371257485,0.4778761061946903,0.020134228187919462,0.14136125654450263,0.16666666666666666,1,26.087981700897217,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1002,20260810,4958,13142,0.33955672789669394,0.07177033492822966,0.0,0.8318817381479214,0.14354066985645933,0.3828045035823951,0.0,0.8333333333333334,0.0,0.07853403141361257,0.0,5,39.92920184135437,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1003,20260810,4958,13142,0.3798759609389788,0.09522912878339555,0.0053475935828877,0.901585322408265,0.1851106639839034,0.427460263780859,0.0053475935828877,0.4,0.0028089887640449437,0.12041884816753927,0.05555555555555555,3,32.55081915855408,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1004,20260810,4958,13142,0.34805353226257807,0.04574517554057196,0.045454545454545456,0.9135824022346368,0.04603580562659847,0.3871413757345316,0.045454545454545456,1.0,0.02857142857142857,0.02356020942408377,0.1111111111111111,1,25.792269468307495,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1005,20260810,4958,13142,0.3533394813691655,0.07363420427553444,0.0,0.9146902962383807,0.14726840855106887,0.3513992206872122,0.0,0.7948717948717948,0.0,0.08115183246073299,0.0,2,29.420539617538452,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1006,20260810,4958,13142,0.36171056637221416,0.09659090909090909,0.0,0.8746199573444661,0.19318181818181818,0.3790404899625723,0.0,0.3493150684931507,0.0,0.13350785340314136,0.0,3,33.006500482559204,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1007,20260810,4958,13142,0.34761150566903176,0.08108108108108109,0.0,0.8438271892622454,0.16216216216216217,0.3844566712517194,0.0,0.5806451612903226,0.0,0.09424083769633508,0.0,3,32.937092304229736,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1008,20260810,4958,13142,0.37194165436200627,0.09850107066381156,0.0,0.8981769675411294,0.19700214132762311,0.3925875085792725,0.0,0.5411764705882353,0.0,0.12041884816753927,0.0,3,32.59105682373047,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
CWT_T39_BALANCED,CWT,39,balanced_min_rare,1009,20260810,4958,13142,0.38097122832685376,0.09954751131221719,0.0,0.9159763313609467,0.19909502262443438,0.4088135593220339,0.0,0.7333333333333333,0.0,0.11518324607329843,0.0,3,32.177794456481934,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}"
DWT_T7_RARE,DWT,7,rare_priority,1000,20260810,4958,13142,0.35252116308665826,0.03112033195020747,0.0,0.9149982437653671,0.06224066390041494,0.4328457446808511,0.0,0.15,0.0,0.03926701570680628,0.0,2,49.649168729782104,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1001,20260810,4958,13142,0.34643987055287806,0.03997613365155131,0.0,0.8560616678346181,0.07995226730310262,0.44974554707379133,0.0,0.0517774343122102,0.0,0.17539267015706805,0.0,4,61.79781746864319,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1002,20260810,4958,13142,0.3424210530320904,0.04329681794470527,0.0,0.8404411416670611,0.08659363588941053,0.44264943457189015,0.0,0.054071661237785014,0.0,0.21727748691099477,0.0,5,67.56046533584595,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1003,20260810,4958,13142,0.346194964528821,0.04175365344467641,0.0,0.8644286636539703,0.08350730688935282,0.43684388757196074,0.0,0.05687203791469194,0.0,0.15706806282722513,0.0,7,79.61480927467346,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1004,20260810,4958,13142,0.3643058267851959,0.05510752688172043,0.0,0.8954163105573298,0.11021505376344086,0.45159194282001297,0.0,0.1132596685082873,0.0,0.10732984293193717,0.0,1,43.075857400894165,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1005,20260810,4958,13142,0.33079955707619796,0.05367057371992597,0.0,0.7924043121352982,0.10734114743985194,0.4234527687296417,0.0,0.07021791767554479,0.0,0.22774869109947643,0.0,6,74.13678789138794,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1006,20260810,4958,13142,0.33368239527502086,0.033797216699801194,0.0,0.8246572715942863,0.06759443339960239,0.4424778761061947,0.0,0.04525288376220053,0.0,0.13350785340314136,0.0,3,55.2580771446228,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1007,20260810,4958,13142,0.33805307104671317,0.048818897637795275,0.0,0.831800766283525,0.09763779527559055,0.4227737226277372,0.0,0.06106369008535785,0.0,0.24345549738219896,0.0,3,54.89795517921448,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1008,20260810,4958,13142,0.32782023081721334,0.039934354485776806,0.0,0.8361858190709046,0.07986870897155361,0.39522639522639524,0.0,0.050484094052558784,0.0,0.19109947643979058,0.0,7,79.97824597358704,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T7_RARE,DWT,7,rare_priority,1009,20260810,4958,13142,0.32423363281667333,0.034241245136186774,0.0,0.796364529599607,0.06848249027237355,0.43208751139471285,0.0,0.048726467331118496,0.0,0.11518324607329843,0.0,4,61.427282094955444,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}"
DWT_T39_BALANCED,DWT,39,balanced_min_rare,1000,20260810,4958,13142,0.35310607604128025,0.022727272727272728,0.0,0.9130549916144408,0.045454545454545456,0.45391476709613476,0.0,0.0821917808219178,0.0,0.031413612565445025,0.0,2,56.41498947143555,"{""method"": ""DWT"", ""image_size"": [160, 256], ""norm_type"": ""linear"", ""clip_pct"": 3, ""wavelet"": ""sym5"", ""level"": 3}"
