representation,architecture_candidate_id,config_id,family,config_json,seed,method_data_seed,wgan_pool_seed,wgan_quality_attempt,n_parameters,n_train_samples,train_class_counts_json,best_epoch,time_s,confusion_json,Macro_F1,Rare_Macro_SF,Min_Rare_F1,Rare_HMean_SF,F1_N,F1_S,F1_V,F1_F,Precision_S,Precision_F,Recall_S,Recall_F
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6100,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",6,152.24673557281494,"[[11528, 1, 468, 3], [214, 28, 140, 0], [171, 17, 551, 3], [8, 0, 8, 2]]",0.45644804094845515,0.14234363767074049,0.1308411214953271,0.14141414141414138,0.9638393043769073,0.1308411214953271,0.5772655840754322,0.15384615384615385,0.6086956521739131,0.25,0.07329842931937172,0.1111111111111111
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6101,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",14,228.5849997997284,"[[10832, 27, 1129, 12], [247, 21, 112, 2], [69, 24, 634, 15], [10, 0, 5, 3]]",0.4078994938013235,0.10625550660792951,0.09251101321585903,0.10447761194029852,0.9354866568788324,0.09251101321585903,0.4836003051106026,0.12,0.2916666666666667,0.09375,0.0549738219895288,0.16666666666666666
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6102,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",13,217.17541527748108,"[[10673, 7, 1259, 61], [218, 50, 114, 0], [57, 19, 656, 10], [4, 0, 8, 6]]",0.4366991389271421,0.172328200413698,0.12631578947368421,0.16004267804747932,0.930027884280237,0.2183406113537118,0.4721122706009356,0.12631578947368421,0.6578947368421053,0.07792207792207792,0.13089005235602094,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6103,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",2,114.08531427383423,"[[11863, 1, 135, 1], [261, 48, 73, 0], [136, 15, 572, 19], [6, 0, 8, 4]]",0.5327954717348479,0.20286141362374546,0.19047619047619047,0.20210526315789473,0.977746641391247,0.21524663677130046,0.7477124183006536,0.19047619047619047,0.75,0.16666666666666666,0.1256544502617801,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6104,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",6,152.19113087654114,"[[10588, 2, 1393, 17], [283, 32, 67, 0], [61, 17, 596, 68], [6, 0, 5, 7]]",0.40588040477563075,0.13753936594583244,0.12727272727272726,0.13677301175393072,0.9231842357659779,0.14780600461893764,0.4252586514448805,0.12727272727272726,0.6274509803921569,0.07608695652173914,0.08376963350785341,0.3888888888888889
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6105,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",4,132.8552668094635,"[[10561, 1, 1412, 26], [149, 30, 201, 2], [217, 13, 504, 8], [7, 0, 5, 6]]",0.4034477616402524,0.1704225352112676,0.14084507042253522,0.16528925619834714,0.9209906688759047,0.14084507042253522,0.35195530726256985,0.2,0.6818181818181818,0.14285714285714285,0.07853403141361257,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6106,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",13,218.29924774169922,"[[10775, 14, 1180, 31], [286, 52, 44, 0], [206, 40, 490, 6], [7, 1, 5, 5]]",0.4258709095241828,0.18967280163599182,0.16666666666666666,0.18688230008984724,0.9259259259259259,0.21267893660531698,0.39821210889882164,0.16666666666666666,0.48598130841121495,0.11904761904761904,0.13612565445026178,0.2777777777777778
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6107,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",12,209.18481516838074,"[[11249, 7, 738, 6], [220, 53, 109, 0], [83, 115, 498, 46], [6, 0, 8, 4]]",0.4322089112489809,0.1492066572856519,0.10810810810810811,0.1378861788617886,0.955004669326768,0.19030520646319568,0.47541766109785205,0.10810810810810811,0.3028571428571429,0.07142857142857142,0.1387434554973822,0.2222222222222222
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6108,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",12,209.35471153259277,"[[10709, 10, 1208, 73], [206, 47, 128, 1], [53, 17, 652, 20], [5, 0, 7, 6]]",0.42914529058801476,0.15391763306571515,0.1016949152542373,0.13619898575223377,0.9323118443390067,0.20614035087719298,0.4764340518816222,0.1016949152542373,0.6351351351351351,0.06,0.12303664921465969,0.3333333333333333
RAW_1D,BILSTM1D_T24_BOTH,FOCAL_A025_G3,focal,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",6109,,,,328228,37862,"{""N"": 33858, ""S"": 562, ""V"": 3046, ""F"": 396}",16,246.57073068618774,"[[10549, 1, 1426, 24], [171, 47, 163, 1], [148, 23, 565, 6], [7, 0, 7, 4]]",0.41750458807434704,0.17922445749510602,0.1509433962264151,0.17476179409714152,0.9223169398907104,0.20750551876379691,0.3892524974164657,0.1509433962264151,0.6619718309859155,0.11428571428571428,0.12303664921465969,0.2222222222222222
