class_index,class_name,n_real,n_candidates,n_selected,candidate_acceptable_fraction,selected_acceptable_fraction,real_nn_median,real_nn_q01,real_nn_q99,screen_lower_limit,screen_upper_limit,selected_nn_mean,selected_nn_median,selected_nn_min,selected_nn_max,generated_self_nn_median,selected_to_real_nn_ratio,generated_self_to_real_nn_ratio,memorization_warning,mode_collapse_warning,distribution_shift_warning,excess_diversity_warning,confirmation_seed,pool_seed,quality_attempt,robust_scale,quality_gate_passed,pool_finite,pool_standardized,source_pool_file
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.2964138438481028,2.3279112577438354,1.3545736074447632,2.6899185180664062,1.8452266454696655,1.2544613407427827,0.9943529779969396,False,False,False,False,6100,1130000,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6100.npz
3,F,396,4752,1584,1.0,1.0,0.9137564301490784,0.39673286825418475,10.61975588798523,0.09918321706354619,31.85926766395569,1.6110601299489387,1.6325570940971375,1.0007038116455078,1.9054763317108154,1.4537099599838257,1.786643617742627,1.5909162573517042,False,False,False,False,6100,1130000,1,4.491408348083496,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6100.npz
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.2999796758661066,2.3151775598526,1.429004192352295,2.7221813201904297,1.8502709865570068,1.2475994246469198,0.9970712649859904,False,False,False,False,6101,1130100,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6101.npz
3,F,396,4752,1584,1.0,1.0,0.9137564301490784,0.39673286825418475,10.61975588798523,0.09918321706354619,31.85926766395569,1.5613163899291644,1.585597574710846,0.9176316857337952,1.8417160511016846,1.4349038004875183,1.7352518925116154,1.5703351058809132,False,False,False,False,6101,1130100,1,4.491408348083496,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6101.npz
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.3122796478326633,2.340501546859741,1.4197598695755005,2.7083632946014404,1.8717843890190125,1.2612459769320443,1.0086643751643323,False,False,False,False,6102,1130200,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6102.npz
3,F,396,4752,1584,1.0,1.0,0.9137564301490784,0.39673286825418475,10.61975588798523,0.09918321706354619,31.85926766395569,1.619421543158365,1.653603196144104,0.9870536923408508,1.9111913442611694,1.4346193671226501,1.809676125479435,1.5700238266871551,False,False,False,False,6102,1130200,1,4.491408348083496,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6102.npz
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.3187231831915436,2.3538408279418945,1.4261797666549683,2.7171854972839355,1.9098253846168518,1.2684342287931056,1.0291638500399793,False,False,False,False,6103,1130300,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6103.npz
3,F,396,4752,1584,1.0,1.0,0.9137564301490784,0.39673286825418475,10.61975588798523,0.09918321706354619,31.85926766395569,1.6353977429445343,1.664830207824707,0.8985815048217773,1.9109793901443481,1.4849556684494019,1.8219627823063218,1.625111046504081,False,False,False,False,6103,1130300,1,4.491408348083496,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6103.npz
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.3159592798596176,2.340877056121826,1.3598324060440063,2.7193000316619873,1.854336142539978,1.2614483308021969,0.9992618901688717,False,False,False,False,6104,1130400,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6104.npz
3,F,396,4752,1584,1.0,1.0,0.9137564301490784,0.39673286825418475,10.61975588798523,0.09918321706354619,31.85926766395569,1.5901151019515414,1.619335114955902,0.9356810450553894,1.8743975162506104,1.4226970672607422,1.7721737013568368,1.5569762579165989,False,False,False,False,6104,1130400,1,4.491408348083496,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6104.npz
1,S,562,6744,2248,1.0,1.0,1.8557058572769165,0.5676669478416443,6.054136576652521,0.14191673696041107,18.162409729957563,2.2880324635429314,2.31045663356781,1.4463226795196533,2.658252716064453,1.864454746246338,1.2450554189434957,1.0047145882172617,False,False,False,False,6105,1130500,1,4.986363887786865,True,True,True,/kaggle/working/balancing_confirmation_bilstm_raw_stft_65x110/wgan_gp_pool_seed_6105.npz
