number,values_0,values_1,datetime_start,datetime_complete,duration,params_clip_pct,params_image_size,params_nfft_multiplier,params_norm_type,params_noverlap_pct,params_nperseg,params_stft_window,user_attrs_F1_F,user_attrs_F1_N,user_attrs_F1_S,user_attrs_F1_V,user_attrs_Recall_F,user_attrs_Recall_S,user_attrs_best_epoch_median,user_attrs_config,user_attrs_macro_f1_mean,user_attrs_macro_f1_std,user_attrs_min_rare_f1_mean,user_attrs_min_rare_f1_std,user_attrs_preprocessing_seconds,user_attrs_rare_macro_sf_mean,user_attrs_rare_macro_sf_std,user_attrs_run_results,user_attrs_total_seconds,user_attrs_training_seconds,system_attrs_NSGAIISampler:generation,state
29,0.23881021469905228,0.42099432963060684,2026-08-10 09:06:31.969339,2026-08-10 09:07:53.226386,0 days 00:01:21.257047,5,128x128,1,sqrt,0.25,64,hamming,0.2284784784784785,0.5827276641589307,0.24914195091962602,0.6236292249653922,0.2222222222222222,0.15968586387434555,9.0,"{'method': 'STFT', 'image_size': [128, 128], 'norm_type': 'sqrt', 'clip_pct': 5, 'nperseg': 64, 'window': 'hamming', 'noverlap_pct': 0.25, 'nfft': 64}",0.42099432963060684,0.039711860698516406,0.18778610070744903,0.07056467397911112,2.890460252761841,0.23881021469905228,0.07568498655434146,"[{'seed': 42, 'Macro_F1': 0.3751743821237763, 'Rare_Macro_SF': 0.15391621129326047, 'Min_Rare_F1': 0.1111111111111111, 'F1_N': 0.5774804905239688, 'F1_S': 0.19672131147540983, 'F1_V': 0.6153846153846154, 'F1_F': 0.1111111111111111, 'Recall_S': 0.1099476439790576, 'Recall_F': 0.1111111111111111, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.4423450766552105, 'Rare_Macro_SF': 0.2632857576677802, 'Min_Rare_F1': 0.20224719101123595, 'F1_N': 0.6262833675564682, 'F1_S': 0.20224719101123595, 'F1_V': 0.6165254237288136, 'F1_F': 0.32432432432432434, 'Recall_S': 0.11780104712041885, 'Recall_F': 0.3333333333333333, 'best_epoch': 11}, {'seed': 44, 'Macro_F1': 0.4454635301128338, 'Rare_Macro_SF': 0.2992286751361162, 'Min_Rare_F1': 0.25, 'F1_N': 0.5444191343963554, 'F1_S': 0.3484573502722323, 'F1_V': 0.6389776357827476, 'F1_F': 0.25, 'Recall_S': 0.2513089005235602, 'Recall_F': 0.2222222222222222, 'best_epoch': 9}]",80.94936776161194,77.94445562362671,2,COMPLETE
44,0.23881021469905228,0.42099432963060684,2026-08-10 09:28:08.686317,2026-08-10 09:29:29.870851,0 days 00:01:21.184534,5,128x128,1,sqrt,0.25,64,hamming,0.2284784784784785,0.5827276641589307,0.24914195091962602,0.6236292249653922,0.2222222222222222,0.15968586387434555,9.0,"{'method': 'STFT', 'image_size': [128, 128], 'norm_type': 'sqrt', 'clip_pct': 5, 'nperseg': 64, 'window': 'hamming', 'noverlap_pct': 0.25, 'nfft': 64}",0.42099432963060684,0.039711860698516406,0.18778610070744903,0.07056467397911112,2.864626407623291,0.23881021469905228,0.07568498655434146,"[{'seed': 42, 'Macro_F1': 0.3751743821237763, 'Rare_Macro_SF': 0.15391621129326047, 'Min_Rare_F1': 0.1111111111111111, 'F1_N': 0.5774804905239688, 'F1_S': 0.19672131147540983, 'F1_V': 0.6153846153846154, 'F1_F': 0.1111111111111111, 'Recall_S': 0.1099476439790576, 'Recall_F': 0.1111111111111111, 'best_epoch': 5}, {'seed': 43, 'Macro_F1': 0.4423450766552105, 'Rare_Macro_SF': 0.2632857576677802, 'Min_Rare_F1': 0.20224719101123595, 'F1_N': 0.6262833675564682, 'F1_S': 0.20224719101123595, 'F1_V': 0.6165254237288136, 'F1_F': 0.32432432432432434, 'Recall_S': 0.11780104712041885, 'Recall_F': 0.3333333333333333, 'best_epoch': 11}, {'seed': 44, 'Macro_F1': 0.4454635301128338, 'Rare_Macro_SF': 0.2992286751361162, 'Min_Rare_F1': 0.25, 'F1_N': 0.5444191343963554, 'F1_S': 0.3484573502722323, 'F1_V': 0.6389776357827476, 'F1_F': 0.25, 'Recall_S': 0.2513089005235602, 'Recall_F': 0.2222222222222222, 'best_epoch': 9}]",80.89812803268433,77.90941429138184,3,COMPLETE
75,0.19447116671294287,0.4072719568427488,2026-08-10 10:24:00.081272,2026-08-10 10:26:35.717014,0 days 00:02:35.635742,3,192x224,4,linear,0.75,112,hamming,0.03211267605633803,0.5407555371953631,0.35682965736954775,0.6993899567497465,0.05555555555555555,0.26090750436300175,8.0,"{'method': 'STFT', 'image_size': [192, 224], 'norm_type': 'linear', 'clip_pct': 3, 'nperseg': 112, 'window': 'hamming', 'noverlap_pct': 0.75, 'nfft': 448}",0.4072719568427488,0.0034061993870093434,0.03211267605633803,0.028985354297254223,4.986420392990112,0.19447116671294287,0.02014909910971097,"[{'seed': 42, 'Macro_F1': 0.40338398258963293, 'Rare_Macro_SF': 0.20234113712374582, 'Min_Rare_F1': 0.0, 'F1_N': 0.5230078563411896, 'F1_S': 0.40468227424749165, 'F1_V': 0.6858457997698504, 'F1_F': 0.0, 'Recall_S': 0.31675392670157065, 'Recall_F': 0.0, 'best_epoch': 10}, {'seed': 43, 'Macro_F1': 0.4087012242209059, 'Rare_Macro_SF': 0.20949755986547652, 'Min_Rare_F1': 0.056338028169014086, 'F1_N': 0.5324384787472036, 'F1_S': 0.362657091561939, 'F1_V': 0.683371298405467, 'F1_F': 0.056338028169014086, 'Recall_S': 0.2643979057591623, 'Recall_F': 0.1111111111111111, 'best_epoch': 8}, {'seed': 44, 'Macro_F1': 0.4097306637177076, 'Rare_Macro_SF': 0.1715748031496063, 'Min_Rare_F1': 0.04, 'F1_N': 0.5668202764976958, 'F1_S': 0.3031496062992126, 'F1_V': 0.728952772073922, 'F1_F': 0.04, 'Recall_S': 0.20157068062827224, 'Recall_F': 0.05555555555555555, 'best_epoch': 6}]",155.34603095054626,150.23966646194458,6,COMPLETE
32,0.18217306608356906,0.4026134230290146,2026-08-10 09:10:08.097767,2026-08-10 09:12:04.257487,0 days 00:01:56.159720,3,192x224,4,linear,0.75,32,hamming,0.03225806451612903,0.6113494530234351,0.3320880676510091,0.634758106925485,0.05555555555555555,0.21291448516579406,3.0,"{'method': 'STFT', 'image_size': [192, 224], 'norm_type': 'linear', 'clip_pct': 3, 'nperseg': 32, 'window': 'hamming', 'noverlap_pct': 0.75, 'nfft': 128}",0.4026134230290146,0.020536032271700505,0.03225806451612903,0.05587260669577023,4.701160192489624,0.18217306608356906,0.03444524875188389,"[{'seed': 42, 'Macro_F1': 0.38428840706370293, 'Rare_Macro_SF': 0.1765873015873016, 'Min_Rare_F1': 0.0, 'F1_N': 0.5644599303135889, 'F1_S': 0.3531746031746032, 'F1_V': 0.6195190947666195, 'F1_F': 0.0, 'Recall_S': 0.23298429319371727, 'Recall_F': 0.0, 'best_epoch': 8}, {'seed': 43, 'Macro_F1': 0.42480950166086817, 'Rare_Macro_SF': 0.21906982769788835, 'Min_Rare_F1': 0.0967741935483871, 'F1_N': 0.6044098573281452, 'F1_S': 0.3413654618473896, 'F1_V': 0.656688493919551, 'F1_F': 0.0967741935483871, 'Recall_S': 0.22251308900523561, 'Recall_F': 0.16666666666666666, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.3987423603624726, 'Rare_Macro_SF': 0.15086206896551724, 'Min_Rare_F1': 0.0, 'F1_N': 0.6651785714285714, 'F1_S': 0.3017241379310345, 'F1_V': 0.6280667320902846, 'F1_F': 0.0, 'Recall_S': 0.18324607329842932, 'Recall_F': 0.0, 'best_epoch': 2}]",115.86986899375916,111.01847076416016,2,COMPLETE
35,0.17679448556641542,0.38199609754889247,2026-08-10 09:14:40.397180,2026-08-10 09:16:00.509123,0 days 00:01:20.111943,2,160x160,4,log1p,0.5,128,hamming,0.0,0.5958953952538084,0.35358897113283083,0.5785000238089307,0.0,0.22687609075043627,6.0,"{'method': 'STFT', 'image_size': [160, 160], 'norm_type': 'log1p', 'clip_pct': 2, 'nperseg': 128, 'window': 'hamming', 'noverlap_pct': 0.5, 'nfft': 512}",0.38199609754889247,0.014379808748369121,0.0,0.0,4.329774379730225,0.17679448556641542,0.02348396178143872,"[{'seed': 42, 'Macro_F1': 0.3834156062256742, 'Rare_Macro_SF': 0.17575757575757575, 'Min_Rare_F1': 0.0, 'F1_N': 0.6110572259941804, 'F1_S': 0.3515151515151515, 'F1_V': 0.5710900473933649, 'F1_F': 0.0, 'Recall_S': 0.22774869109947643, 'Recall_F': 0.0, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.36695917859299687, 'Rare_Macro_SF': 0.15384615384615385, 'Min_Rare_F1': 0.0, 'F1_N': 0.5385500575373993, 'F1_S': 0.3076923076923077, 'F1_V': 0.6215943491422805, 'F1_F': 0.0, 'Recall_S': 0.18324607329842932, 'Recall_F': 0.0, 'best_epoch': 7}, {'seed': 44, 'Macro_F1': 0.3956135078280063, 'Rare_Macro_SF': 0.20077972709551656, 'Min_Rare_F1': 0.0, 'F1_N': 0.6380789022298456, 'F1_S': 0.4015594541910331, 'F1_V': 0.5428156748911466, 'F1_F': 0.0, 'Recall_S': 0.2696335078534031, 'Recall_F': 0.0, 'best_epoch': 6}]",79.81582498550415,75.36712789535522,2,COMPLETE
71,0.1756773529265885,0.38229700344000794,2026-08-10 10:17:15.286644,2026-08-10 10:19:21.968502,0 days 00:02:06.681858,3,192x192,4,sqrt,0.5,64,hamming,0.023392699254768223,0.48563238061089403,0.3279620065984088,0.6922009272959606,0.1111111111111111,0.22949389179755672,10.0,"{'method': 'STFT', 'image_size': [192, 192], 'norm_type': 'sqrt', 'clip_pct': 3, 'nperseg': 64, 'window': 'hamming', 'noverlap_pct': 0.5, 'nfft': 256}",0.38229700344000794,0.014711079623857131,0.023392699254768223,0.02071411625792301,4.534135818481445,0.1756773529265885,0.03795008477710734,"[{'seed': 42, 'Macro_F1': 0.36619412130161183, 'Rare_Macro_SF': 0.16167664670658682, 'Min_Rare_F1': 0.0, 'F1_N': 0.4688741721854305, 'F1_S': 0.32335329341317365, 'F1_V': 0.6725490196078432, 'F1_F': 0.0, 'Recall_S': 0.21204188481675393, 'Recall_F': 0.0, 'best_epoch': 3}, {'seed': 43, 'Macro_F1': 0.39503232685477757, 'Rare_Macro_SF': 0.21863871413696856, 'Min_Rare_F1': 0.03940886699507389, 'F1_N': 0.45217391304347826, 'F1_S': 0.3978685612788632, 'F1_V': 0.690677966101695, 'F1_F': 0.03940886699507389, 'Recall_S': 0.2931937172774869, 'Recall_F': 0.2222222222222222, 'best_epoch': 11}, {'seed': 44, 'Macro_F1': 0.38566456216363443, 'Rare_Macro_SF': 0.14671669793621014, 'Min_Rare_F1': 0.03076923076923077, 'F1_N': 0.5358490566037736, 'F1_S': 0.2626641651031895, 'F1_V': 0.7133757961783439, 'F1_F': 0.03076923076923077, 'Recall_S': 0.18324607329842932, 'Recall_F': 0.1111111111111111, 'best_epoch': 10}]",126.40211534500122,121.75325465202332,5,COMPLETE
6,0.16344566011856687,0.3801351956747503,2026-08-10 08:24:32.776501,2026-08-10 08:27:59.300014,0 days 00:03:26.523513,3,224x256,1,sqrt,0.25,96,hamming,0.04918974830479255,0.5358112757247143,0.2777015719323412,0.6578381867371533,0.11111111111111112,0.18848167539267016,8.0,"{'method': 'STFT', 'image_size': [224, 256], 'norm_type': 'sqrt', 'clip_pct': 3, 'nperseg': 96, 'window': 'hamming', 'noverlap_pct': 0.25, 'nfft': 96}",0.3801351956747503,0.03874419432460713,0.04918974830479255,0.07042945154893437,5.31246280670166,0.16344566011856687,0.037221045717159576,"[{'seed': 42, 'Macro_F1': 0.40030481292935105, 'Rare_Macro_SF': 0.15089501206757844, 'Min_Rare_F1': 0.017699115044247787, 'F1_N': 0.5442329227323628, 'F1_S': 0.2840909090909091, 'F1_V': 0.7551963048498845, 'F1_F': 0.017699115044247787, 'Recall_S': 0.19633507853403143, 'Recall_F': 0.05555555555555555, 'best_epoch': 9}, {'seed': 43, 'Macro_F1': 0.40463365610511864, 'Rare_Macro_SF': 0.20531968031968031, 'Min_Rare_F1': 0.12987012987012986, 'F1_N': 0.5467775467775468, 'F1_S': 0.28076923076923077, 'F1_V': 0.6611177170035671, 'F1_F': 0.12987012987012986, 'Recall_S': 0.19109947643979058, 'Recall_F': 0.2777777777777778, 'best_epoch': 8}, {'seed': 44, 'Macro_F1': 0.3354671179897813, 'Rare_Macro_SF': 0.1341222879684418, 'Min_Rare_F1': 0.0, 'F1_N': 0.5164233576642335, 'F1_S': 0.2682445759368836, 'F1_V': 0.5572005383580081, 'F1_F': 0.0, 'Recall_S': 0.17801047120418848, 'Recall_F': 0.0, 'best_epoch': 6}]",206.22838425636292,200.79996728897095,0,COMPLETE
62,0.16344566011856687,0.3801351956747503,2026-08-10 09:59:22.081643,2026-08-10 10:02:48.427353,0 days 00:03:26.345710,3,224x256,1,sqrt,0.25,96,hamming,0.04918974830479255,0.5358112757247143,0.2777015719323412,0.6578381867371533,0.11111111111111112,0.18848167539267016,8.0,"{'method': 'STFT', 'image_size': [224, 256], 'norm_type': 'sqrt', 'clip_pct': 3, 'nperseg': 96, 'window': 'hamming', 'noverlap_pct': 0.25, 'nfft': 96}",0.3801351956747503,0.03874419432460713,0.04918974830479255,0.07042945154893437,5.057238578796387,0.16344566011856687,0.037221045717159576,"[{'seed': 42, 'Macro_F1': 0.40030481292935105, 'Rare_Macro_SF': 0.15089501206757844, 'Min_Rare_F1': 0.017699115044247787, 'F1_N': 0.5442329227323628, 'F1_S': 0.2840909090909091, 'F1_V': 0.7551963048498845, 'F1_F': 0.017699115044247787, 'Recall_S': 0.19633507853403143, 'Recall_F': 0.05555555555555555, 'best_epoch': 9}, {'seed': 43, 'Macro_F1': 0.40463365610511864, 'Rare_Macro_SF': 0.20531968031968031, 'Min_Rare_F1': 0.12987012987012986, 'F1_N': 0.5467775467775468, 'F1_S': 0.28076923076923077, 'F1_V': 0.6611177170035671, 'F1_F': 0.12987012987012986, 'Recall_S': 0.19109947643979058, 'Recall_F': 0.2777777777777778, 'best_epoch': 8}, {'seed': 44, 'Macro_F1': 0.3354671179897813, 'Rare_Macro_SF': 0.1341222879684418, 'Min_Rare_F1': 0.0, 'F1_N': 0.5164233576642335, 'F1_S': 0.2682445759368836, 'F1_V': 0.5572005383580081, 'F1_F': 0.0, 'Recall_S': 0.17801047120418848, 'Recall_F': 0.0, 'best_epoch': 6}]",206.0395221710205,200.8626000881195,5,COMPLETE
70,0.15605269656535678,0.38822745878916537,2026-08-10 10:15:47.241220,2026-08-10 10:17:15.099742,0 days 00:01:27.858522,5,128x128,2,linear,0.25,64,hamming,0.025641025641025644,0.623744199622691,0.2864643674896879,0.617060242403257,0.018518518518518517,0.1692844677137871,12.0,"{'method': 'STFT', 'image_size': [128, 128], 'norm_type': 'linear', 'clip_pct': 5, 'nperseg': 64, 'window': 'hamming', 'noverlap_pct': 0.25, 'nfft': 128}",0.38822745878916537,0.017319406141678772,0.025641025641025644,0.04441155916843275,2.9005537033081055,0.15605269656535678,0.010198502630245023,"[{'seed': 42, 'Macro_F1': 0.3758296958675499, 'Rare_Macro_SF': 0.1487964989059081, 'Min_Rare_F1': 0.0, 'F1_N': 0.5842450765864332, 'F1_S': 0.2975929978118162, 'F1_V': 0.62148070907195, 'F1_F': 0.0, 'Recall_S': 0.17801047120418848, 'Recall_F': 0.0, 'best_epoch': 11}, {'seed': 43, 'Macro_F1': 0.40801616861551854, 'Rare_Macro_SF': 0.16771323914181058, 'Min_Rare_F1': 0.07692307692307693, 'F1_N': 0.667379679144385, 'F1_S': 0.2585034013605442, 'F1_V': 0.6292585170340681, 'F1_F': 0.07692307692307693, 'Recall_S': 0.14921465968586387, 'Recall_F': 0.05555555555555555, 'best_epoch': 12}, {'seed': 44, 'Macro_F1': 0.38083651188442774, 'Rare_Macro_SF': 0.15164835164835164, 'Min_Rare_F1': 0.0, 'F1_N': 0.6196078431372549, 'F1_S': 0.3032967032967033, 'F1_V': 0.6004415011037527, 'F1_F': 0.0, 'Recall_S': 0.1806282722513089, 'Recall_F': 0.0, 'best_epoch': 12}]",87.57453870773315,84.55346035957336,5,COMPLETE
79,0.1550091997657024,0.3893893012444897,2026-08-10 10:32:22.777739,2026-08-10 10:34:45.482828,0 days 00:02:22.705089,3,192x224,4,log1p,0.75,112,hamming,0.08908045977011493,0.5641328734078311,0.22093793976128992,0.6834059320387231,0.11111111111111112,0.1544502617801047,9.0,"{'method': 'STFT', 'image_size': [192, 224], 'norm_type': 'log1p', 'clip_pct': 3, 'nperseg': 112, 'window': 'hamming', 'noverlap_pct': 0.75, 'nfft': 448}",0.3893893012444897,0.028576462860015254,0.009219348659003831,0.00868282603415512,5.188121318817139,0.1550091997657024,0.021707494954744753,"[{'seed': 42, 'Macro_F1': 0.39571743606382365, 'Rare_Macro_SF': 0.1642627130014759, 'Min_Rare_F1': 0.017241379310344827, 'F1_N': 0.5165394402035624, 'F1_S': 0.311284046692607, 'F1_V': 0.7378048780487805, 'F1_F': 0.017241379310344827, 'Recall_S': 0.2094240837696335, 'Recall_F': 0.05555555555555555, 'best_epoch': 9}, {'seed': 43, 'Macro_F1': 0.35817919557857203, 'Rare_Macro_SF': 0.13020833333333334, 'Min_Rare_F1': 0.010416666666666666, 'F1_N': 0.5799828913601369, 'F1_S': 0.010416666666666666, 'F1_V': 0.5923172242874845, 'F1_F': 0.25, 'Recall_S': 0.005235602094240838, 'Recall_F': 0.2777777777777778, 'best_epoch': 3}, {'seed': 44, 'Macro_F1': 0.41427127209107356, 'Rare_Macro_SF': 0.17055655296229802, 'Min_Rare_F1': 0.0, 'F1_N': 0.5958762886597938, 'F1_S': 0.34111310592459604, 'F1_V': 0.7200956937799043, 'F1_F': 0.0, 'Recall_S': 0.2486910994764398, 'Recall_F': 0.0, 'best_epoch': 10}]",142.40298509597778,137.09430408477783,6,COMPLETE
