number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_hidden_size,params_kernel_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,0.18326336671015275,0.4669908363154294,gelu,16,2,0.30000000000000004,64,80,3,0.002188988126543485,0.1,2,mean,32,7.00541163471428e-06,0.008453690448145262,0.008393072897036925,0.8646931194166487,0.10916139110338127,0.35807304297216025,0.02104035358705731,0.6367434924247635,0.05426579969169499,0.4669908363154294,0.0210822544739451,0.008453690448145262,0.008393072897036925,0.004297512559085995,0.004288362738881999,0.7772452830188679,0.11489818112412359,0.18326336671015275,0.014716713242047118,0.33333333333333337,0.07856742013183861,0.23298429319371727,0.00740425948886438,10.0,STFT_2D,CNN_BILSTM2D,288468,84.78129720687866,COMPLETE
1,,,relu,24,1,0.4,128,64,3,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,134381,,PRUNED
2,0.07317321240758483,0.3200747751009934,gelu,20,1,0.5,128,96,3,0.00012871453810729287,0.30000000000000004,2,mean,32,0.00010632597548623684,0.10797957353915721,0.12459059957756187,0.8616005074188997,0.004490393859673271,0.03836685127601244,0.010855947638816818,0.2723521681699044,0.013023591766523677,0.3200747751009934,0.03824013321064392,0.03296194058669565,0.01849964563906393,0.08091221493283349,0.09984763045808169,0.3588924387646432,0.43525848724794935,0.07317321240758483,0.06772327360818935,0.2777777777777778,0.0,0.02879581151832461,0.018510648722160933,9.5,STFT_2D,CNN_BILSTM2D,396320,78.00226545333862,COMPLETE
3,,,relu,24,1,0.5,128,64,5,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,224413,,PRUNED
4,0.05277478009107349,0.3152109717402498,gelu,24,1,0.5,128,96,5,0.00013517515928503557,,1,mean,16,0.00013060239681830966,0.052696871628910465,0.06689672568507035,0.8391528872069585,0.07011557222315046,0.05285268855323651,0.010753425051583462,0.3161414395718937,0.10645793019369874,0.3152109717402498,0.004950235665734689,0.025321306018050736,0.028181829520558022,0.25136165577342046,0.3516277185312189,0.10310734463276836,0.08988645523557807,0.05277478009107349,0.028071650316743448,0.16666666666666669,0.15713484026367724,0.07722513089005235,0.07219153001642763,5.5,STFT_2D,CNN_BILSTM2D,286236,66.74845862388611,COMPLETE
5,,,gelu,20,1,0.4,128,64,5,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,177825,,PRUNED
6,0.0988747754546542,0.40131503092861126,gelu,16,1,0.30000000000000004,64,112,3,0.00039116556310351484,0.30000000000000004,2,mean,32,0.00020786085233876254,0.08450704225352113,0.11951100527096577,0.9314812832093071,0.04382934819191026,0.11324250865578725,0.035118889837365004,0.47602928959582946,0.01942957862669523,0.40131503092861126,0.014998086467096402,0.044204851752021566,0.06251510087040098,0.05660377358490566,0.08004982428526954,0.19970935166327222,0.203704238410814,0.0988747754546542,0.04219605771680039,0.16666666666666666,0.23570226039551584,0.1505235602094241,0.09070217873858857,7.0,STFT_2D,CNN_BILSTM2D,475156,65.52056312561035,COMPLETE
7,0.17040237380730414,0.4688336237887405,gelu,16,1,0.30000000000000004,64,112,3,0.0018924243883539315,0.2,2,attention,16,4.688217015236656e-07,0.004800589610450245,0.002464246817137195,0.9248698306437981,0.03322336802091108,0.336004158004158,0.028278390941589224,0.6096599168965557,0.059143430708555336,0.4688336237887405,2.6479640798096783e-05,0.004800589610450245,0.002464246817137195,0.0024381459008672043,0.001224452769904392,0.7609570279061804,0.0095031471191823,0.17040237380730414,0.012907072062226011,0.19444444444444442,0.19641855032959654,0.21596858638743455,0.024063843338809215,4.0,STFT_2D,CNN_BILSTM2D,474277,52.761112689971924,COMPLETE
8,,,relu,12,1,0.2,128,112,3,,,1,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,171272,,PRUNED
9,,,gelu,16,2,0.4,128,112,5,,0.1,2,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,595109,,PRUNED
10,0.047732971468457494,0.3145941246606525,relu,16,2,0.30000000000000004,64,96,5,0.0001794691406203298,0.30000000000000004,2,mean,16,1.7577266220859303e-05,0.024096385542168676,0.034077435237905906,0.8543226846626224,0.012498972607911805,0.0713695573947463,0.015437777124199427,0.3085878710430727,0.024859313514890596,0.3145941246606525,0.0015698293016819282,0.024096385542168676,0.034077435237905906,0.015384615384615385,0.02175713172881685,0.05544200306591722,0.0039745399044721665,0.047732971468457494,0.009319829056853237,0.05555555555555555,0.07856742013183861,0.1256544502617801,0.08885111386637247,10.0,STFT_2D,CNN_BILSTM2D,466052,103.35140895843506,COMPLETE
11,,,relu,24,1,0.5,128,80,3,,,1,mean,16,,,,,,,,,,,,,,,,,,,,,,,,,,,161052,,PRUNED
12,0.1721263019414204,0.44687239972700465,gelu,24,2,0.30000000000000004,64,64,3,0.0024782793542530777,0.2,2,mean,16,6.110898680817754e-06,0.006535947712418301,0.009243225897863368,0.9490746857350127,0.009582770004476758,0.33771665617042246,0.03416362956665104,0.49416230929016547,0.0839755779104144,0.44687239972700465,0.012368101059287488,0.006535947712418301,0.009243225897863368,0.003367003367003367,0.004761661826172037,0.6473980309423347,0.24723874233892504,0.1721263019414204,0.012460201834393834,0.1111111111111111,0.15713484026367722,0.24345549738219896,0.07034046514421151,9.0,STFT_2D,CNN_BILSTM2D,274044,98.05272150039673,COMPLETE
13,0.10357598978288633,0.3977282266483374,gelu,16,1,0.5,128,112,3,0.0005231305367085405,0.1,2,mean,32,8.601052474064113e-05,0.10344827586206896,0.14629795472825122,0.923715505881146,0.06755840741676694,0.1037037037037037,0.14665918424609875,0.4600454211464307,0.22393154352249622,0.3977282266483374,0.00036679700877168485,0.10344827586206896,0.14629795472825122,0.13636363636363635,0.1928473039599675,0.17721518987341772,0.2506201249775105,0.10357598978288633,0.14647856948717497,0.08333333333333333,0.11785113019775792,0.07329842931937172,0.1036596328441012,8.0,STFT_2D,CNN_BILSTM2D,491860,69.87251853942871,COMPLETE
