number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_hidden_size,params_kernel_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_pooling,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
28,,,relu,24,1,0.6,64,64,7,,,1,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,111356,,PRUNED
29,,,gelu,24,1,0.6,64,64,5,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,98861,,PRUNED
30,,,gelu,28,2,0.2,128,80,5,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,195089,,PRUNED
31,,,relu,28,1,0.30000000000000004,64,96,5,,,1,attention,16,,,,,,,,,,,,,,,,,,,,,,,,,,,173873,,PRUNED
32,0.0850400928590887,0.37365723873271406,gelu,32,1,0.6,64,112,7,0.0012941931521301547,,1,mean,16,4.023235409060838e-07,0.005649717514124294,0.007989907132051385,0.814047123965271,0.0420685901624873,0.1644304682040531,0.0084002902027752,0.5105016452474079,0.08582126072773213,0.37365723873271406,0.01104076340899218,0.005649717514124294,0.007989907132051385,0.0028538812785388126,0.004035997609512258,0.28746151214505644,0.005201093327235987,0.0850400928590887,0.00020519153536190544,0.2777777777777778,0.3928371006591931,0.11518324607329844,0.007404259488864371,12.0,RAW_1D,CNN_BILSTM1D,250036,69.61305236816406,COMPLETE
33,,,gelu,24,2,0.6,128,64,5,,0.1,2,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,238941,,PRUNED
34,0.12319954089717969,0.4718711254409392,gelu,32,1,0.30000000000000004,128,80,7,0.0015125507287414173,0.2,2,attention,16,1.0007814372411644e-06,0.0073972644027114854,0.008430854266789951,0.9246790866178016,0.006934186533974975,0.23900181739164789,0.0874629431946499,0.7164063333515955,0.16814427901271295,0.4718711254409392,0.016329073754324554,0.0073972644027114854,0.008430854266789951,0.003761694616063548,0.004291320589089763,0.7986997635933806,0.01387467206583531,0.12319954089717969,0.047946898730719924,0.2222222222222222,0.23570226039551584,0.14267015706806283,0.06108514078313108,8.5,RAW_1D,CNN_BILSTM1D,346517,58.71718978881836,COMPLETE
35,,,gelu,32,2,0.30000000000000004,128,112,5,,0.0,2,mean,32,,,,,,,,,,,,,,,,,,,,,,,,,,,601796,,PRUNED
36,,,gelu,28,2,0.5,64,80,7,,,1,attention,32,,,,,,,,,,,,,,,,,,,,,,,,,,,213841,,PRUNED
37,0.12228959087974856,0.373435136039196,relu,24,2,0.30000000000000004,64,96,7,0.0005176581414783493,0.4,2,mean,32,0.0002355829813682306,0.01694915254237288,0.023969721396154154,0.8998566252430412,0.013739127136556123,0.22763002921712422,0.027198007402497983,0.34930473715424576,0.018921310879744687,0.373435136039196,0.020957041703738216,0.01694915254237288,0.023969721396154154,0.012195121951219513,0.017246506858208478,0.43564415708812265,0.2530582098858466,0.12228959087974856,0.025583864399326067,0.027777777777777776,0.039283710065919304,0.16492146596858637,0.014808518977728741,8.5,RAW_1D,CNN_BILSTM1D,432540,59.802040100097656,COMPLETE
38,0.1717472700419686,0.47851625076884874,relu,32,1,0.2,64,112,5,0.001560538027412472,0.2,2,mean,32,6.7443437103342675e-06,0.00955641135358722,0.0002823989427075071,0.9094519593415483,0.04806562743929477,0.33393812873035,0.03440723304089553,0.6611185036499094,0.026515773356476976,0.47851625076884874,0.003284944475196333,0.00955641135358722,0.0002823989427075071,0.004846488717456459,9.548232083867218e-05,0.6027777777777777,0.16891995328345302,0.1717472700419686,0.017344815991801522,0.4444444444444444,0.31426968052735443,0.23298429319371727,0.00740425948886438,8.0,RAW_1D,CNN_BILSTM1D,533508,59.662816286087036,COMPLETE
