number,values_0,values_1,params_dropout,params_head_dim,params_hidden_size,params_learning_rate,params_lstm_dropout,params_n_layers,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
27,,,0.6,128,112,,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,136612,,PRUNED
28,0.0,0.3160442606560123,0.5,64,128,0.0002228415283284988,0.4,2,32,8.594651087416564e-05,0.0,0.0,0.9665825409058362,0.01732989700757823,0.0,0.0,0.29759450171821306,0.42086218041756024,0.3160442606560123,0.10954801935628462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RAW_1D,BILSTM1D,548324,56.40666151046753,COMPLETE
29,0.0,0.3601253579940856,0.30000000000000004,128,120,0.00016402393389659687,0.2,2,16,2.88638237223115e-06,0.0,0.0,0.9513944676435084,0.006334426788463341,0.0,0.0,0.48910696433283407,0.07687735235150153,0.3601253579940856,0.01763573139075953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RAW_1D,BILSTM1D,499092,86.78518223762512,COMPLETE
30,0.050824305287144655,0.4400564636551316,0.30000000000000004,128,112,0.00018062795853773954,0.4,2,16,1.013557847045625e-06,0.06841109709962169,0.04235507201306558,0.950303560789012,0.03325761156835054,0.03323751347466763,0.04181040216142759,0.7082736832572251,0.11518985249461834,0.4400564636551316,0.03697569855283275,0.021067316521861976,0.02459914457401813,0.03937246963562753,0.025908163440235853,0.2045394271570014,0.28526182778861475,0.050824305287144655,0.00027233492581899563,0.2777777777777778,0.07856742013183861,0.01963350785340314,0.020361713594377023,17.5,RAW_1D,BILSTM1D,437332,142.532879114151,COMPLETE
31,0.09657336646600026,0.4918416906980954,0.4,64,104,0.00039152804579790847,0.30000000000000004,2,32,0.00016947771151521693,0.04431412544620092,0.05199632730601742,0.9650851790435484,0.01995722061905279,0.1488326074857996,0.05996612308540433,0.8091348508168328,0.02803105171127077,0.4918416906980954,0.025972154824800902,0.04431412544620092,0.05199632730601742,0.02500742500742501,0.029905555580922002,0.3739130434782609,0.03689252771408076,0.09657336646600026,0.055981225195710874,0.25,0.11785113019775792,0.09424083769633507,0.044425556933186235,19.5,RAW_1D,BILSTM1D,366116,144.87894487380981,COMPLETE
32,,,0.30000000000000004,128,96,,0.1,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,550948,,PRUNED
33,,,0.5,128,112,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,134484,,PRUNED
34,,,0.4,64,112,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,118804,,PRUNED
35,,,0.5,64,112,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,118804,,PRUNED
36,0.2370869742356263,0.503246275753345,0.2,128,120,0.0014149554940821494,0.30000000000000004,2,32,3.5965131412880246e-06,0.0905720338983051,0.03969985106238032,0.9604993717757475,0.0040879680189464885,0.38360191457294757,0.08667412987233374,0.5783117827663802,0.058117041698365755,0.503246275753345,0.027294822131816405,0.0905720338983051,0.03969985106238032,0.07071428571428572,0.0010101525445522033,0.8567119155354449,0.13011617994684585,0.2370869742356263,0.02348713940497671,0.2222222222222222,0.23570226039551584,0.24738219895287958,0.06108514078313108,5.0,RAW_1D,BILSTM1D,501220,80.61661505699158,COMPLETE
