model_id,domain,n_trials_total,n_complete_total,n_unique_complete,excluded_duplicate_trial_numbers,pareto_trial_numbers,rare_priority_trial,rare_priority_rare_macro,rare_priority_macro_f1,rare_priority_minrare,balanced_minrare_trial,balanced_minrare,balanced_rare_macro,balanced_macro_f1
CNN1D,RAW_1D,38,20,20,[],[20],20,0.13615460884390215,0.427397336021063,0.007628489942147732,33,0.06391608391608392,0.10858731546231547,0.40791148402813054
BILSTM1D,RAW_1D,68,20,20,[],[24],24,0.30829722976700086,0.5963961294453237,0.1308489773045671,24,0.1308489773045671,0.30829722976700086,0.5963961294453237
TRANSFORMER1D,RAW_1D,42,20,20,[],"[8, 30, 31, 35]",31,0.24182844802877687,0.44176957144250817,0.0004970178926441351,30,0.003079765937788728,0.22986184137832755,0.46737229570132355
CNN2D,STFT_2D,133,24,20,"[81, 93, 99, 105]","[19, 66]",19,0.1961779982204177,0.38008737826220673,0.11840411840411841,19,0.11840411840411841,0.1961779982204177,0.38008737826220673
BILSTM2D,STFT_2D,45,20,20,[],"[0, 7, 13, 18]",7,0.30639717302418906,0.45792073428734303,0.2017921146953405,7,0.2017921146953405,0.30639717302418906,0.45792073428734303
VIT2D,STFT_2D,40,20,20,[],"[0, 5, 14, 16]",16,0.2490028390090128,0.4001109241211357,0.13157894736842105,16,0.13157894736842105,0.2490028390090128,0.4001109241211357
CNN_BILSTM1D,RAW_1D,39,20,20,[],"[16, 38]",16,0.17771809294869317,0.425717697726625,0.025423728813559324,16,0.025423728813559324,0.17771809294869317,0.425717697726625
CNN_BILSTM2D,STFT_2D,32,20,20,[],"[14, 19, 29]",14,0.22439781200692901,0.4077206093987735,0.08494208494208494,13,0.10344827586206896,0.10357598978288633,0.3977282266483374
