number,values_0,values_1,params_dropout,params_ff_multiplier,params_head_dim,params_learning_rate,params_model_head_pair,params_n_layers,params_rr_dim,params_transformer_dropout,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
19,,,0.30000000000000004,4,64,,80x4,2,16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,176548,,PRUNED
20,,,0.4,4,128,,112x4,5,16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,797076,,PRUNED
21,0.0,0.32604633989686516,0.6,2,128,0.00017949823779936006,112x8,4,32,0.1,6.745484771937893e-05,0.0,0.0,0.9035188939563814,0.01949840777160895,0.0,0.0,0.4006664656310794,0.02278717509439514,0.32604633989686516,0.010571395716501042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,RAW_1D,TRANSFORMER1D,445620,123.68123722076416,COMPLETE
22,,,0.30000000000000004,2,128,,80x4,2,16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,131492,,PRUNED
23,0.0,0.37995435733293503,0.2,4,64,0.0002352014877384637,112x8,2,32,0.0,4.6918663043562723e-07,0.0,0.0,0.9425135987761981,0.039035516514633904,0.0,0.0,0.5773038305555421,0.22365788850909904,0.37995435733293503,0.06567335125593322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,RAW_1D,TRANSFORMER1D,333716,67.98856711387634,COMPLETE
24,0.059012875536480686,0.4269964246113582,0.4,2,64,0.0007765647708729337,112x8,3,32,0.2,0.000432279119914839,0.0,0.0,0.9053154192043189,0.08706460601603112,0.11802575107296137,0.16691361787665285,0.6846445281681525,0.08654803470128612,0.4269964246113582,0.04159926164047692,0.0,0.0,0.0,0.0,0.3273809523809524,0.46298658291976325,0.059012875536480686,0.08345680893832642,0.0,0.0,0.07198952879581152,0.10180856797188513,9.0,RAW_1D,TRANSFORMER1D,334500,176.44683384895325,COMPLETE
25,,,0.4,2,64,,64x4,4,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,151972,,PRUNED
26,,,0.30000000000000004,2,128,,96x8,2,32,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,183940,,PRUNED
27,,,0.5,2,64,,96x8,2,16,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,174324,,PRUNED
28,0.0941373758976108,0.3891670684258634,0.30000000000000004,2,128,0.0012687778612513981,96x8,4,32,0.4,9.404322996979145e-05,0.0025684931506849314,0.0036323978485610317,0.8169942434758211,0.11469606132337082,0.18570625864453666,0.2478969183179498,0.551399278432411,0.14553709592589859,0.3891670684258634,0.0021759602706896424,0.0025684931506849314,0.0036323978485610317,0.0012908777969018934,0.0018255768877449593,0.935,0.09192388155425117,0.0941373758976108,0.12576465808325543,0.25,0.3535533905932738,0.11649214659685864,0.1573405141383679,3.5,RAW_1D,TRANSFORMER1D,333508,140.89361596107483,COMPLETE
29,0.0,0.33750776243665837,0.5,4,64,0.00012458248788989136,112x4,3,32,0.30000000000000004,1.210956821291034e-06,0.0,0.0,0.9183967169655964,0.0021068539299709537,0.0,0.0,0.4316343327810371,0.014318412737187206,0.33750776243665837,0.00410631666678952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,RAW_1D,TRANSFORMER1D,485700,85.0504982471466,COMPLETE
30,0.22986184137832755,0.46737229570132355,0.4,2,64,0.0024973153908871212,112x4,4,32,0.2,8.438897212442475e-07,0.003079765937788728,0.004355446758155513,0.862625875682161,0.11464425872465173,0.45664391681886635,0.15699587645223573,0.5471396243664782,0.1991510580027355,0.46737229570132355,0.03811099837924902,0.003079765937788728,0.004355446758155513,0.001548467017652524,0.002189863057251618,0.718515037593985,0.0697802744591988,0.22986184137832755,0.08067566160519564,0.2777777777777778,0.3928371006591931,0.3416230366492147,0.1536383843939357,12.0,RAW_1D,TRANSFORMER1D,436084,216.63872027397156,COMPLETE
31,0.24182844802877687,0.44176957144250817,0.5,4,128,0.0029070952221652343,96x8,3,16,0.2,0.00041070481043383193,0.0004970178926441351,0.0007028894445194309,0.8618145451673804,0.049559207251133386,0.4831598781649096,0.07028613420434804,0.42160684454509834,0.0065067468946216666,0.44176957144250817,0.02815892627908516,0.0004970178926441351,0.0007028894445194309,0.00025075225677031093,0.00035461724232023446,0.8101979742173112,0.02620722646662851,0.24182844802877687,0.034791622379914296,0.027777777777777776,0.039283710065919304,0.3455497382198953,0.06663833539977938,7.0,RAW_1D,TRANSFORMER1D,367764,157.7481243610382,COMPLETE
32,,,0.30000000000000004,2,64,,80x4,3,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,177108,,PRUNED
33,0.18923690902962895,0.44630866773070854,0.30000000000000004,4,64,0.001047824199238573,96x8,3,16,0.0,2.7214621762774873e-05,0.0,0.0,0.9006871836728201,0.0226803564584798,0.3784738180592579,0.11317131695707118,0.5060736691907562,0.29947285693472553,0.44630866773070854,0.040905295879793635,0.0,0.0,0.0,0.0,0.7550553683196919,0.2551644354835423,0.18923690902962895,0.05658565847853559,0.0,0.0,0.2526178010471204,0.07219153001642763,8.5,RAW_1D,TRANSFORMER1D,360276,164.43587470054626,COMPLETE
34,,,0.4,4,128,,80x4,2,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,185140,,PRUNED
35,0.19192862860159648,0.46999675429651494,0.30000000000000004,4,64,0.0014299399985350596,80x4,3,16,0.0,3.346801209871424e-05,0.0,0.0,0.9037582840293013,0.025762640546490797,0.38385725720319297,0.0987530384840939,0.5923714759535654,0.25634086628089436,0.46999675429651494,0.045837617085822784,0.0,0.0,0.0,0.0,0.5625936450529578,0.35883248797800416,0.19192862860159648,0.04937651924204695,0.0,0.0,0.31675392670157065,0.0037021297444321897,8.0,RAW_1D,TRANSFORMER1D,254388,112.86264872550964,COMPLETE
36,,,0.4,4,64,,96x8,2,32,0.30000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,249540,,PRUNED
37,0.08620689655172414,0.33845239306752994,0.4,4,128,0.00014086722647463294,96x8,3,32,0.4,2.824587992063807e-06,0.0,0.0,0.8375156830910948,0.08754127871287676,0.1724137931034483,0.24382992454708538,0.3438800960755768,0.06532662089258993,0.33845239306752994,0.02274050623540465,0.0,0.0,0.0,0.0,0.4878048780487805,0.689860274328339,0.08620689655172414,0.12191496227354269,0.0,0.0,0.10471204188481675,0.14808518977728743,6.0,RAW_1D,TRANSFORMER1D,369892,145.7553825378418,COMPLETE
38,0.17952893213469545,0.39148808620041153,0.2,4,128,0.001762147570349647,96x4,3,32,0.1,3.6977725425988175e-05,0.0,0.0,0.7942902274654667,0.15769545464747048,0.3590578642693909,0.022217612958045935,0.4126042530667885,0.010924228372764305,0.39148808620041153,0.03660051751554724,0.0,0.0,0.0,0.0,0.7978465271458901,0.21854468002095598,0.17952893213469545,0.011108806479022968,0.0,0.0,0.2369109947643979,0.038872362316537935,4.0,RAW_1D,TRANSFORMER1D,369892,88.867924451828,COMPLETE
39,0.16160162197462083,0.38152738527318486,0.30000000000000004,2,64,0.0005940751729126688,96x4,4,16,0.0,1.0651609811584406e-05,0.0018709073900841909,0.002645862605001113,0.841275138153518,0.10485275364265985,0.3213323365591575,0.06289408277530478,0.36163115898997966,0.13836438722647842,0.38152738527318486,0.04441929887220807,0.0018709073900841909,0.002645862605001113,0.0009514747859181732,0.0013455885465015176,0.708596661805218,0.07316280664197224,0.16160162197462083,0.03276997269015294,0.05555555555555555,0.07856742013183861,0.2081151832460733,0.04627662180540233,7.0,RAW_1D,TRANSFORMER1D,323892,122.79422521591187,COMPLETE
40,,,0.5,4,128,,96x8,5,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,593572,,PRUNED
41,0.0,0.3275329285791888,0.6,4,128,0.00010396479030149346,96x4,4,16,0.30000000000000004,0.00017642542500915574,0.0,0.0,0.9027135704300555,0.03024765753322328,0.0,0.0,0.40741814388669995,0.07691036847912189,0.3275329285791888,0.026789506503086282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,RAW_1D,TRANSFORMER1D,479604,111.1578938961029,COMPLETE
