number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_kernel_size,params_learning_rate,params_pool_bins,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
37,0.06848512598968429,0.3539566417966902,relu,30,1,0.5,128,3,0.0007237176950270547,2,32,0.0003997225368465485,0.03278688524590164,0.046367657782724434,0.8698763691180095,0.0066893566640776215,0.10418336673346693,0.029439165088478006,0.40897994608938254,0.09974200857412267,0.3539566417966902,0.007656135591749461,0.03278688524590164,0.046367657782724434,0.023255813953488372,0.03288868749704872,0.06767886679818005,0.02610602465476295,0.06848512598968429,0.03790341143560123,0.05555555555555555,0.07856742013183861,0.25,0.031468102827673594,9.0,STFT_2D,CNN2D,418270,117.25063490867615,COMPLETE
38,,,relu,26,2,0.5,64,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1491890,,PRUNED
39,,,gelu,26,2,0.5,64,3,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,550066,,PRUNED
40,,,gelu,26,2,0.2,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1647346,,PRUNED
41,,,relu,30,1,0.2,128,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1023070,,PRUNED
42,0.08558262188381861,0.32189534457550195,gelu,22,1,0.2,64,5,0.00022697537087171816,2,16,7.73880295106656e-05,0.09375,0.13258252147247765,0.8443350753704979,0.013390898984381318,0.07741524376763723,0.04470854740924866,0.2720810591638725,0.03811364641204906,0.32189534457550195,0.01578780665889029,0.022900763358778626,0.032386570130681566,0.10714285714285714,0.1515228816828316,0.4438987408530556,0.5293162041250741,0.08558262188381861,0.0439369870316145,0.08333333333333333,0.11785113019775792,0.13743455497382198,0.1610426438828001,1.5,STFT_2D,CNN2D,538998,94.52252173423767,COMPLETE
43,0.11139453691692497,0.33920406515683743,gelu,30,1,0.6,64,3,0.00021872908749887484,2,16,5.7879865351052255e-06,0.11462686567164179,0.048969783055307164,0.8819776636358428,0.0001362124718298852,0.10816220816220816,0.01487626876022758,0.25204952315765694,0.04783129738133597,0.33920406515683743,0.0034684988895215874,0.08882154882154883,0.012475553984570736,0.08227040816326531,0.02795957935814155,0.2533277332644094,0.16480577408502692,0.11139453691692497,0.017046757147539796,0.19444444444444445,0.11785113019775793,0.07329842931937172,0.00370212974443218,14.5,STFT_2D,CNN2D,384078,159.7030792236328,COMPLETE
44,,,gelu,34,2,0.4,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,2585002,,PRUNED
45,,,relu,30,2,0.2,64,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1934718,,PRUNED
46,0.03411134163208852,0.3018869013292015,gelu,30,1,0.5,64,3,0.0009390435956146306,4,16,5.47355128905003e-07,0.041666666666666664,0.05892556509887896,0.891289537539125,0.01657853625415617,0.026556016597510373,0.037555878834804185,0.24803538451350382,0.03341045715816942,0.3018869013292015,0.0071548267870627175,0.0,0.0,0.08333333333333333,0.11785113019775792,0.019441069258809233,0.027493823812842672,0.03411134163208852,0.010684843132037387,0.027777777777777776,0.039283710065919304,0.041884816753926704,0.05923407591091498,2.0,STFT_2D,CNN2D,476238,67.41966986656189,COMPLETE
47,,,gelu,26,2,0.6,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1552034,,PRUNED
48,,,gelu,30,2,0.5,64,3,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,726222,,PRUNED
49,,,gelu,30,2,0.6,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,2153230,,PRUNED
50,,,gelu,30,1,0.4,128,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1023070,,PRUNED
51,,,relu,30,2,0.30000000000000004,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1966782,,PRUNED
52,0.044563628898023344,0.3270661211946716,gelu,30,1,0.6,128,3,0.0004735778966099891,2,32,1.4182305907216727e-07,0.03448244905287728,0.04074164037754971,0.8891471942346406,0.028763768886076138,0.0546448087431694,0.07727942963787404,0.3299900327479992,0.0460953651311432,0.3270661211946716,0.010790483999551136,0.03164556962025317,0.04475359374598402,0.019293924466338257,0.02322189757591289,0.05714285714285714,0.08081220356417686,0.044563628898023344,0.05901053500771188,0.25,0.039283710065919325,0.05235602094240838,0.07404259488864372,4.5,STFT_2D,CNN2D,418270,86.0582172870636,COMPLETE
53,,,gelu,30,1,0.5,64,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,988878,,PRUNED
54,,,gelu,22,2,0.6,64,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1048918,,PRUNED
55,0.1412252082872521,0.32376603473958776,gelu,34,1,0.6,64,3,0.00012262042038936103,2,16,0.0004575215895392783,0.18055555555555555,0.09820927516479827,0.794592172233104,0.10105643257702436,0.10189486101894861,0.07267616699653817,0.21802155015074287,0.04912951951375485,0.32376603473958776,0.005174872517639302,0.10189486101894861,0.07267616699653817,0.1845238095238095,0.1431049438115632,0.48364888123924266,0.3261697372770994,0.1412252082872521,0.08544272108066824,0.19444444444444442,0.039283710065919304,0.06806282722513089,0.05923407591091498,12.0,STFT_2D,CNN2D,487866,230.9360511302948,COMPLETE
56,,,gelu,30,2,0.30000000000000004,64,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,725118,,PRUNED
57,,,relu,34,1,0.30000000000000004,128,3,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,613194,,PRUNED
58,,,relu,30,1,0.2,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1207390,,PRUNED
59,,,relu,22,1,0.5,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,700166,,PRUNED
60,,,relu,34,2,0.5,64,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1030234,,PRUNED
61,,,relu,26,1,0.30000000000000004,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,827954,,PRUNED
62,0.1087366776822165,0.30806920996968157,relu,30,1,0.2,64,3,0.00032217271240103824,2,16,1.1059741153710771e-07,0.13468013468013468,0.019046647304688143,0.777577009623414,0.015174281773369365,0.08279322068429831,0.023842445297925428,0.2372264748908793,0.038387595424767045,0.30806920996968157,0.004918944737803974,0.08279322068429831,0.023842445297925428,0.12222222222222222,0.015713484026367727,0.06467634714027612,0.034960408971515027,0.1087366776822165,0.02144454630130679,0.16666666666666666,0.07856742013183861,0.1505235602094241,0.05368088129426671,4.0,STFT_2D,CNN2D,384078,80.73882007598877,COMPLETE
63,,,relu,22,2,0.4,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1130134,,PRUNED
64,0.14386383715871703,0.3388660291282576,gelu,34,1,0.2,64,3,0.00010418942016302068,2,32,9.948634383021956e-06,0.17320261437908496,0.08781064602970198,0.8187899779411174,0.051801105189960985,0.11452505993834913,0.005509765705672086,0.2489464642544787,0.028105081228924633,0.3388660291282576,0.0005986734762860524,0.11087008917811521,0.0003408564864721766,0.16203703703703703,0.12439841520874448,0.22965465465465465,0.1912161130505964,0.14386383715871703,0.04115044016201495,0.2222222222222222,0.0,0.10209424083769633,0.044425556933186235,7.5,STFT_2D,CNN2D,488970,175.11298894882202,COMPLETE
65,,,gelu,22,1,0.4,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,562870,,PRUNED
66,0.18559512724472293,0.43570984468091817,relu,22,1,0.4,128,3,0.0014697009170129805,3,32,1.55548689945133e-05,0.04081632653061224,0.04329225190938046,0.924960862975925,0.016473191428931517,0.3303739279588336,0.030583884381475086,0.4466882612583019,0.20556848094057828,0.43570984468091817,0.03704138401966354,0.04081632653061224,0.04329225190938046,0.0225987525987526,0.02460908007705365,0.45021804557459616,0.00347451277531623,0.18559512724472293,0.03693806814542776,0.3055555555555556,0.03928371006591928,0.2617801047120419,0.03702129744432188,7.5,STFT_2D,CNN2D,296070,96.2908947467804,COMPLETE
67,0.15524716401762845,0.3457521837194062,relu,26,1,0.30000000000000004,128,3,0.00019378705057007182,3,32,3.1295385023934383e-06,0.11904761904761904,0.1217363322921895,0.8314975284650777,0.036230591451136517,0.19144670898763783,0.051188262364545704,0.24101687837729036,0.006913936435172435,0.3457521837194062,0.028423149453488155,0.09410908725977218,0.08646792241214392,0.10438443670150986,0.1217521257966384,0.24294186500195086,0.08129934696841665,0.15524716401762845,0.035274034963821886,0.19444444444444442,0.039283710065919304,0.15837696335078533,0.03517023257210577,4.5,STFT_2D,CNN2D,389362,81.10876250267029,COMPLETE
68,,,relu,34,2,0.4,64,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2522970,,PRUNED
69,0.1406836380882888,0.3461388143123028,gelu,22,1,0.30000000000000004,64,3,0.0022374191899262987,4,16,2.659836246499852e-05,0.07837995337995338,0.025136080217004315,0.8414505512138837,0.06973748092881416,0.2029873227966242,0.047291298264217164,0.26173742985875004,0.029020559840968765,0.3461388143123028,0.04279635481275113,0.07837995337995338,0.025136080217004315,0.04758828596037898,0.014921719327364698,0.150640519365641,0.038171122523299204,0.1406836380882888,0.03621368924061075,0.2222222222222222,0.07856742013183864,0.31151832460732987,0.059234075910915,10.0,STFT_2D,CNN2D,281334,113.99993896484375,COMPLETE
70,,,relu,34,1,0.6,64,3,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,593418,,PRUNED
71,,,relu,26,2,0.5,128,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,576930,,PRUNED
72,,,relu,22,1,0.2,128,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,237622,,PRUNED
73,,,gelu,30,2,0.5,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,2045710,,PRUNED
74,,,gelu,34,1,0.2,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1387898,,PRUNED
75,,,relu,22,2,0.5,128,3,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,558486,,PRUNED
76,,,relu,34,1,0.2,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1511882,,PRUNED
77,,,relu,26,1,0.4,64,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,748082,,PRUNED
78,,,relu,22,2,0.4,64,5,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1115398,,PRUNED
79,,,relu,26,2,0.5,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1554162,,PRUNED
80,,,gelu,30,1,0.30000000000000004,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1082142,,PRUNED
81,0.10232021887178323,0.3237173155270962,gelu,34,1,0.30000000000000004,64,3,0.00013234146579958316,3,16,0.0002002050008487476,0.11317829457364341,0.028503529164108893,0.8453278339355433,0.01616559626974676,0.09146214316992306,0.03108898905544207,0.24490099042927496,0.03600538182426982,0.3237173155270962,0.0018553850313836,0.09146214316992306,0.03108898905544207,0.08258258258258258,0.040345431959592795,0.4769503546099291,0.2682993815140446,0.10232021887178323,0.02979625910977549,0.25,0.11785113019775792,0.05366492146596859,0.024063843338809215,2.5,STFT_2D,CNN2D,531386,115.51037263870239,COMPLETE
82,,,gelu,22,1,0.30000000000000004,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,621318,,PRUNED
83,,,gelu,34,2,0.2,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2602650,,PRUNED
84,,,relu,34,1,0.30000000000000004,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1370250,,PRUNED
85,,,relu,30,1,0.4,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1020942,,PRUNED
86,,,relu,34,1,0.30000000000000004,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1300858,,PRUNED
87,,,relu,30,2,0.5,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,941502,,PRUNED
88,,,relu,30,1,0.30000000000000004,128,3,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,602590,,PRUNED
89,,,gelu,22,2,0.5,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,556358,,PRUNED
90,,,gelu,26,1,0.6,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,843634,,PRUNED
91,,,gelu,26,1,0.30000000000000004,64,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,748082,,PRUNED
92,,,relu,30,2,0.4,64,5,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026878,,PRUNED
93,0.02695889166477402,0.30367008139922913,relu,22,2,0.6,64,3,0.0006717238176980405,4,16,1.3142180381075315e-06,0.02702702702702703,0.03822198817224581,0.8322470565884369,0.17556100314890408,0.02689075630252101,0.038029272265495,0.3285154856789315,0.09755330282966543,0.30367008139922913,0.04921576138520716,0.02689075630252101,0.038029272265495,0.017857142857142856,0.025253813613805267,0.015426147319706903,0.02181586675469487,0.02695889166477402,0.03812563021887041,0.05555555555555555,0.07856742013183861,0.10471204188481675,0.14808518977728743,7.0,STFT_2D,CNN2D,464902,151.39252090454102,COMPLETE
94,,,gelu,30,2,0.5,64,3,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,763518,,PRUNED
95,,,gelu,26,2,0.30000000000000004,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1554162,,PRUNED
96,,,gelu,22,2,0.5,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1128006,,PRUNED
97,,,relu,34,2,0.6,64,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,925786,,PRUNED
98,,,relu,30,2,0.6,128,3,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,836110,,PRUNED
99,0.15734154020076974,0.3676879863519734,relu,22,1,0.5,128,3,0.00017949823779936006,3,32,6.745484771937893e-05,0.23558758314855877,0.011758981948778507,0.8164358303414891,0.056662172697899735,0.0790954972529807,0.010501171988824701,0.33963303466486505,0.09796005202697448,0.3676879863519734,0.03897000867120699,0.0790954972529807,0.010501171988824701,0.2048494983277592,0.017736792170231115,0.04675976018133633,0.00793471652038189,0.15734154020076974,0.0006289049799768941,0.2777777777777778,0.0,0.2630890052356021,0.020361713594377023,8.0,STFT_2D,CNN2D,296070,97.4759886264801,COMPLETE
100,,,gelu,26,2,0.30000000000000004,128,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,576930,,PRUNED
101,,,gelu,34,1,0.30000000000000004,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1387898,,PRUNED
102,,,gelu,34,1,0.4,64,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,592314,,PRUNED
103,,,gelu,26,2,0.2,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,736674,,PRUNED
104,,,relu,34,2,0.4,64,3,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,969306,,PRUNED
105,0.08543624693676916,0.3414463397721067,gelu,26,1,0.4,64,3,0.0014149554940821494,4,16,3.5965131412880246e-06,0.04557823129251701,0.016354850721321503,0.8865742712278438,0.00011931229767973358,0.1252942625810213,0.01581111759124493,0.3083385939870448,0.05336119396553534,0.3414463397721067,0.0213519624951055,0.04557823129251701,0.016354850721321503,0.025451413637443576,0.010373923435084179,0.09566121263837903,0.004636805610520504,0.08543624693676916,0.016082984156283217,0.25,0.039283710065919325,0.18455497382198954,0.04997875154983452,12.0,STFT_2D,CNN2D,372578,130.85218119621277,COMPLETE
106,,,gelu,26,1,0.4,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,774946,,PRUNED
107,,,relu,34,2,0.4,64,3,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,969306,,PRUNED
108,,,gelu,30,2,0.2,64,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1934718,,PRUNED
109,0.1571740096966104,0.35663946818091696,gelu,22,2,0.2,64,3,0.00054620215430508,3,32,4.212658100601234e-06,0.19999999999999998,0.12121830534626529,0.8524513824969083,0.0404011593255661,0.11434801939322084,0.06133458561855662,0.25975847083353876,0.018519267458755664,0.35663946818091696,0.06036832943728593,0.11434801939322084,0.06133458561855662,0.20588235294117646,0.12478354962115545,0.13520811797219467,0.1193851515756195,0.1571740096966104,0.09127644548241096,0.19444444444444445,0.11785113019775793,0.12041884816753927,0.00370212974443219,3.5,STFT_2D,CNN2D,426582,114.28236413002014,COMPLETE
110,,,gelu,34,1,0.6,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1370250,,PRUNED
111,,,relu,22,1,0.2,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,562870,,PRUNED
112,0.08041521280943517,0.30645153654196466,gelu,22,1,0.5,128,3,0.00044272969699015173,4,16,9.953905392987577e-06,0.10753532182103612,0.06549340673470379,0.8142725482030817,0.08976347984900496,0.05329510379783423,0.026938687284831928,0.2507031723459067,0.0028700506724753157,0.30645153654196466,0.03136203715660033,0.04773553256919206,0.019076266252306916,0.06685393258426967,0.046875618078658775,0.03630894679819809,0.008406897637987978,0.08041521280943517,0.019277359724935925,0.3333333333333333,0.0,0.14528795811518325,0.14993625464950353,4.0,STFT_2D,CNN2D,372790,69.54259300231934,COMPLETE
113,,,relu,34,1,0.30000000000000004,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1300858,,PRUNED
114,,,gelu,26,1,0.6,64,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,746978,,PRUNED
115,,,gelu,22,1,0.5,64,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,213750,,PRUNED
116,,,relu,26,1,0.4,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,843634,,PRUNED
117,,,gelu,22,2,0.2,128,5,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1206854,,PRUNED
118,,,gelu,34,2,0.4,64,3,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,926890,,PRUNED
119,,,gelu,22,1,0.6,128,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,564998,,PRUNED
120,0.08359304801879483,0.35227471426865253,gelu,22,2,0.6,128,3,0.0013596233431489517,3,16,2.4885463512002495e-05,0.06304914881933003,0.08761173394026073,0.8837514460523108,0.002240514038403769,0.10413694721825963,0.14727188310019393,0.3581613149847095,0.1475571834287983,0.35227471426865253,0.02239173691251508,0.0625,0.08838834764831845,0.05027731558513589,0.07031849465709816,0.11442006269592477,0.16181440447215664,0.08359304801879483,0.11744180852022731,0.1111111111111111,0.07856742013183861,0.09554973821989529,0.1351277356717748,10.5,STFT_2D,CNN2D,477510,184.00700187683105,COMPLETE
121,,,gelu,26,2,0.6,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1552034,,PRUNED
122,,,relu,22,1,0.5,64,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,567158,,PRUNED
123,,,gelu,30,2,0.4,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,2027982,,PRUNED
