number,values_0,values_1,params_activation,params_base_channels,params_blocks_per_stage,params_dropout,params_head_dim,params_kernel_size,params_learning_rate,params_pool_bins,params_rr_dim,params_weight_decay,user_attrs_F1_F_mean,user_attrs_F1_F_std,user_attrs_F1_N_mean,user_attrs_F1_N_std,user_attrs_F1_S_mean,user_attrs_F1_S_std,user_attrs_F1_V_mean,user_attrs_F1_V_std,user_attrs_Macro_F1_mean,user_attrs_Macro_F1_std,user_attrs_Min_Rare_F1_mean,user_attrs_Min_Rare_F1_std,user_attrs_Precision_F_mean,user_attrs_Precision_F_std,user_attrs_Precision_S_mean,user_attrs_Precision_S_std,user_attrs_Rare_Macro_SF_mean,user_attrs_Rare_Macro_SF_std,user_attrs_Recall_F_mean,user_attrs_Recall_F_std,user_attrs_Recall_S_mean,user_attrs_Recall_S_std,user_attrs_best_epoch_mean,user_attrs_domain,user_attrs_model_id,user_attrs_n_parameters,user_attrs_time_s,state
0,,,gelu,30,1,0.30000000000000004,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1082142,,PRUNED
1,0.15077803231358364,0.33515097737018973,gelu,34,1,0.30000000000000004,64,3,0.00013234146579958316,3,16,0.0002002050008487476,0.1778880226789511,0.08118447806677583,0.834394901908186,0.015453137202566514,0.12366804194821618,0.039315523613739245,0.2046529429454058,0.02651503250633778,0.33515097737018973,0.007701764787316342,0.10817484815294234,0.0174048388239883,0.16346153846153846,0.12238386597459476,0.15747525171334292,0.03879245595408727,0.15077803231358364,0.020934477226518287,0.25,0.039283710065919325,0.10209424083769633,0.03702129744432186,5.5,STFT_2D,CNN2D,531386,152.16995978355408,COMPLETE
2,,,gelu,22,1,0.30000000000000004,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,621318,,PRUNED
3,,,gelu,34,2,0.2,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2602650,,PRUNED
4,,,relu,34,1,0.30000000000000004,64,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1370250,,PRUNED
5,,,relu,30,1,0.4,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1020942,,PRUNED
6,,,relu,34,1,0.30000000000000004,128,5,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1300858,,PRUNED
7,,,relu,30,2,0.5,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,941502,,PRUNED
8,,,relu,30,1,0.30000000000000004,128,3,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,602590,,PRUNED
9,,,gelu,22,2,0.5,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,556358,,PRUNED
10,,,gelu,26,1,0.6,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,843634,,PRUNED
11,,,gelu,26,1,0.30000000000000004,64,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,748082,,PRUNED
12,,,relu,30,2,0.4,64,5,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026878,,PRUNED
13,0.02695889166477402,0.30367008139922913,relu,22,2,0.6,64,3,0.0006717238176980405,4,16,1.3142180381075315e-06,0.02702702702702703,0.03822198817224581,0.8322470565884369,0.17556100314890408,0.02689075630252101,0.038029272265495,0.3285154856789315,0.09755330282966543,0.30367008139922913,0.04921576138520716,0.02689075630252101,0.038029272265495,0.017857142857142856,0.025253813613805267,0.015426147319706903,0.02181586675469487,0.02695889166477402,0.03812563021887041,0.05555555555555555,0.07856742013183861,0.10471204188481675,0.14808518977728743,7.0,STFT_2D,CNN2D,464902,155.47994804382324,COMPLETE
14,,,gelu,30,2,0.5,64,3,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,763518,,PRUNED
15,,,gelu,26,2,0.30000000000000004,128,5,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1554162,,PRUNED
16,,,gelu,22,2,0.5,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1128006,,PRUNED
17,,,relu,34,2,0.6,64,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,925786,,PRUNED
18,,,relu,30,2,0.6,128,3,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,836110,,PRUNED
19,0.1961779982204177,0.38008737826220673,relu,22,1,0.5,128,3,0.00017949823779936006,3,32,6.745484771937893e-05,0.2566137566137566,0.16087614598424096,0.842130203863402,0.02563080443511662,0.13574223982707878,0.0591016052849302,0.2858633127445896,0.06342090030232968,0.38008737826220673,0.04770656135918926,0.11840411840411841,0.03458179882250811,0.3402777777777778,0.30444875301087465,0.0901910603549146,0.05180650802708281,0.1961779982204177,0.05088727034965539,0.2222222222222222,0.07856742013183864,0.3390052356020943,0.06108514078313108,9.0,STFT_2D,CNN2D,296070,106.88824939727783,COMPLETE
20,,,gelu,26,2,0.30000000000000004,128,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,576930,,PRUNED
21,,,gelu,34,1,0.30000000000000004,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1387898,,PRUNED
22,,,gelu,34,1,0.4,64,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,592314,,PRUNED
23,,,gelu,26,2,0.2,128,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,736674,,PRUNED
24,,,relu,34,2,0.4,64,3,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,969306,,PRUNED
25,0.08543624693676916,0.3414463397721067,gelu,26,1,0.4,64,3,0.0014149554940821494,4,16,3.5965131412880246e-06,0.04557823129251701,0.016354850721321503,0.8865742712278438,0.00011931229767973358,0.1252942625810213,0.01581111759124493,0.3083385939870448,0.05336119396553534,0.3414463397721067,0.0213519624951055,0.04557823129251701,0.016354850721321503,0.025451413637443576,0.010373923435084179,0.09566121263837903,0.004636805610520504,0.08543624693676916,0.016082984156283217,0.25,0.039283710065919325,0.18455497382198954,0.04997875154983452,12.0,STFT_2D,CNN2D,372578,135.54546117782593,COMPLETE
26,0.12787721772466543,0.3374835458717752,gelu,22,2,0.6,64,3,0.0019013445221635389,4,16,1.0811490509155788e-06,0.029208194905869324,0.0244707496257803,0.8634246817037514,0.028855066553000214,0.22654624054346148,0.15844344815063457,0.23075506633401877,0.012653041465027602,0.3374835458717752,0.04167804317211058,0.029208194905869324,0.0244707496257803,0.015835009417999552,0.013499660158655155,0.38214330151620185,0.42482463613120225,0.12787721772466543,0.09145709888820745,0.19444444444444445,0.11785113019775793,0.2081151832460733,0.024063843338809194,11.5,STFT_2D,CNN2D,464902,208.00010514259338,COMPLETE
27,,,gelu,30,2,0.30000000000000004,64,3,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,818382,,PRUNED
28,,,gelu,22,2,0.30000000000000004,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1128006,,PRUNED
29,,,relu,22,1,0.6,128,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,564998,,PRUNED
30,,,gelu,22,2,0.30000000000000004,128,5,,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1128006,,PRUNED
31,,,gelu,26,2,0.5,64,5,,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1458610,,PRUNED
32,,,gelu,30,1,0.5,128,5,,4,32,,,,,,,,,,,,,,,,,,,,,,,,,,,1207390,,PRUNED
33,,,relu,22,2,0.4,128,5,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,1206854,,PRUNED
34,,,gelu,30,2,0.30000000000000004,128,3,,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,836110,,PRUNED
35,,,gelu,26,2,0.5,64,3,,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,628834,,PRUNED
36,,,relu,26,2,0.2,128,3,,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,576930,,PRUNED
