candidate_config_id,baseline_config_id,metric,n_paired_seeds,candidate_mean,baseline_mean,mean_difference_candidate_minus_baseline,mean_difference_ci95_low,mean_difference_ci95_high,wins_candidate,ties,wins_baseline
FOCAL_A025_G3,BASELINE_CE,RecordMacro_F1_F,5,0.02378055095649894,0.03734989498525121,-0.013569344028752275,-0.042012702098591634,0.014874014041087083,2,0,3
FOCAL_A025_G3,BASELINE_CE,RecordMacro_Recall_F,5,0.14627496159754222,0.18,-0.033725038402457753,-0.08561062125625604,0.018160544451340542,1,0,4
FOCAL_A025_G3,BASELINE_CE,OOF_Macro_F1,5,0.36051643882240614,0.35810400718815166,0.002412431634254475,-0.02999799891070133,0.03482286217921028,3,0,2
FOCAL_A025_G3,BASELINE_CE,OOF_F1_F,5,0.02324922751640755,0.010453739226242847,0.012795488290164705,-0.02270928839191033,0.04830026497223974,2,0,3
F_RECORD_BALANCED_CE_P025,BASELINE_CE,RecordMacro_F1_F,5,0.01878816582657674,0.03734989498525121,-0.018561729158674472,-0.049849532446306605,0.012726074128957657,1,0,4
F_RECORD_BALANCED_CE_P025,BASELINE_CE,RecordMacro_Recall_F,5,0.14428571428571427,0.18,-0.03571428571428571,-0.16129797632908321,0.0898694049005118,1,0,4
F_RECORD_BALANCED_CE_P025,BASELINE_CE,OOF_Macro_F1,5,0.36613665318817123,0.35810400718815166,0.008032646000019617,-0.026689304354082264,0.0427545963541215,3,0,2
F_RECORD_BALANCED_CE_P025,BASELINE_CE,OOF_F1_F,5,0.003606396880214287,0.010453739226242847,-0.006847342346028561,-0.014964934891707712,0.00127025019965059,1,0,4
F_RECORD_BALANCED_FOCAL_A025_G3,BASELINE_CE,RecordMacro_F1_F,5,0.031085287844931635,0.03734989498525121,-0.0062646071403195756,-0.06198728816397391,0.049458073883334765,1,0,4
F_RECORD_BALANCED_FOCAL_A025_G3,BASELINE_CE,RecordMacro_Recall_F,5,0.1314285714285714,0.18,-0.04857142857142857,-0.11963443342065756,0.02249157627780042,0,0,5
F_RECORD_BALANCED_FOCAL_A025_G3,BASELINE_CE,OOF_Macro_F1,5,0.3493886537834421,0.35810400718815166,-0.008715353404709515,-0.07558069279718119,0.058149985987762165,2,0,3
F_RECORD_BALANCED_FOCAL_A025_G3,BASELINE_CE,OOF_F1_F,5,0.0035832380566603707,0.010453739226242847,-0.006870501169582477,-0.01313359273274797,-0.0006074096064169849,1,0,4
WGAN_F_RECORD_BALANCED_X10,BASELINE_CE,RecordMacro_F1_F,5,0.052153275358954386,0.03734989498525121,0.014803380373703174,-0.0597909046596279,0.08939766540703424,3,0,2
WGAN_F_RECORD_BALANCED_X10,BASELINE_CE,RecordMacro_Recall_F,5,0.12571428571428572,0.18,-0.054285714285714284,-0.11655867480117699,0.007987246229748418,1,0,4
WGAN_F_RECORD_BALANCED_X10,BASELINE_CE,OOF_Macro_F1,5,0.36588803750070775,0.35810400718815166,0.007784030312556134,-0.021750795062815943,0.03731885568792821,3,0,2
WGAN_F_RECORD_BALANCED_X10,BASELINE_CE,OOF_F1_F,5,0.013899324760863321,0.010453739226242847,0.003445585534620474,-0.015623237302564416,0.022514408371805364,2,0,3
WGAN_F_RECORD_BALANCED_X20,BASELINE_CE,RecordMacro_F1_F,5,0.0325075770384086,0.03734989498525121,-0.004842317946842615,-0.024551315175021224,0.014866679281335992,2,0,3
WGAN_F_RECORD_BALANCED_X20,BASELINE_CE,RecordMacro_Recall_F,5,0.12285714285714285,0.18,-0.05714285714285715,-0.1182684181605571,0.0039827038748427995,0,1,4
WGAN_F_RECORD_BALANCED_X20,BASELINE_CE,OOF_Macro_F1,5,0.35658517823061586,0.35810400718815166,-0.001518828957535756,-0.027912959941104026,0.024875302026032515,3,0,2
WGAN_F_RECORD_BALANCED_X20,BASELINE_CE,OOF_F1_F,5,0.011736934264553845,0.010453739226242847,0.001283195038310997,-0.007550840948903871,0.010117231025525865,3,0,2
WGAN_F_RECORD_BALANCED_X5,BASELINE_CE,RecordMacro_F1_F,5,0.07138755980861244,0.03734989498525121,0.034037664823361236,-0.024985161988043222,0.0930604916347657,4,0,1
WGAN_F_RECORD_BALANCED_X5,BASELINE_CE,RecordMacro_Recall_F,5,0.14857142857142858,0.18,-0.03142857142857143,-0.14123989615865828,0.07838275330151544,1,1,3
WGAN_F_RECORD_BALANCED_X5,BASELINE_CE,OOF_Macro_F1,5,0.354624861484406,0.35810400718815166,-0.003479145703745634,-0.06265097949861566,0.05569268809112439,2,0,3
WGAN_F_RECORD_BALANCED_X5,BASELINE_CE,OOF_F1_F,5,0.012802252743764151,0.010453739226242847,0.0023485135175213036,-0.00714464405573384,0.011841671090776447,3,0,2
