screen_rank,config_id,family,n_seeds,config_json,WGAN_QA_fold_pass_rate,WGAN_QA_all_seeds_passed,eligible_for_confirmation,RecordMacro_F1_F_mean,RecordMacro_F1_F_std,RecordMacro_F1_F_ci95_low,RecordMacro_F1_F_ci95_high,RecordMacro_Recall_F_mean,RecordMacro_Recall_F_std,RecordMacro_Recall_F_ci95_low,RecordMacro_Recall_F_ci95_high,RecordMacro_Precision_F_mean,RecordMacro_Precision_F_std,RecordMacro_Precision_F_ci95_low,RecordMacro_Precision_F_ci95_high,RecordMedian_F1_F_mean,RecordMedian_F1_F_std,RecordMedian_F1_F_ci95_low,RecordMedian_F1_F_ci95_high,RecordWorst_F1_F_mean,RecordWorst_F1_F_std,RecordWorst_F1_F_ci95_low,RecordWorst_F1_F_ci95_high,OOF_Accuracy_mean,OOF_Accuracy_std,OOF_Accuracy_ci95_low,OOF_Accuracy_ci95_high,OOF_Macro_F1_mean,OOF_Macro_F1_std,OOF_Macro_F1_ci95_low,OOF_Macro_F1_ci95_high,OOF_Rare_Macro_SF_mean,OOF_Rare_Macro_SF_std,OOF_Rare_Macro_SF_ci95_low,OOF_Rare_Macro_SF_ci95_high,OOF_Min_Rare_F1_mean,OOF_Min_Rare_F1_std,OOF_Min_Rare_F1_ci95_low,OOF_Min_Rare_F1_ci95_high,OOF_F1_N_mean,OOF_F1_N_std,OOF_F1_N_ci95_low,OOF_F1_N_ci95_high,OOF_F1_S_mean,OOF_F1_S_std,OOF_F1_S_ci95_low,OOF_F1_S_ci95_high,OOF_F1_V_mean,OOF_F1_V_std,OOF_F1_V_ci95_low,OOF_F1_V_ci95_high,OOF_F1_F_mean,OOF_F1_F_std,OOF_F1_F_ci95_low,OOF_F1_F_ci95_high
1,BASELINE_CE,baseline,5,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""ce""}",1.0,True,True,0.03734989498525121,0.015641277104141676,0.017928684319109624,0.05677110565139279,0.18,0.050355876377184486,0.11747492120445051,0.24252507879554946,0.042342987609671326,0.017797080954638663,0.02024499291517858,0.06444098230416408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7499053731588907,0.03167229218104466,0.710579028217097,0.7892317181006845,0.35810400718815166,0.021683369654318406,0.3311805477286405,0.38502746664766285,0.03363586004003797,0.014567655040511319,0.015547727237983436,0.0517239928420925,0.010453739226242847,0.005709415086662735,0.0033645640623322917,0.017542914390153402,0.8491535445856048,0.02268841502465711,0.8209821564731826,0.8773249326980269,0.05681798085383309,0.027674435552079872,0.02245563055820514,0.09118033114946104,0.5159907640869258,0.08005343956595107,0.4165912902455034,0.6153902379283482,0.010453739226242847,0.005709415086662735,0.0033645640623322917,0.017542914390153402
2,F_RECORD_BALANCED_FOCAL_A025_G3,record_balanced,5,"{""class_weight_power"": 0.25, ""config_id"": ""F_RECORD_BALANCED_FOCAL_A025_G3"", ""family"": ""record_balanced"", ""gamma"": 3.0, ""kind"": ""record_balanced_focal""}",1.0,True,True,0.031085287844931635,0.03355462751310983,-0.010578285111234424,0.07274886080109769,0.1314285714285714,0.10709522750852177,-0.0015477169482017439,0.26440485980534456,0.05069965328172875,0.053129740139637685,-0.015269632283580914,0.11666893884703841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934748621739487,0.060356404483508506,0.6185324876657519,0.7684172366821456,0.3493886537834421,0.03738278158696934,0.3029717997341876,0.3958055078326966,0.016369382300238513,0.012069484153597815,0.0013831383498252477,0.031355626250651775,0.0035832380566603707,0.0016635736927134365,0.001517638494059201,0.00564883761926154,0.8096170411429803,0.046233510883199956,0.7522105551687489,0.8670235271172116,0.029155526543816656,0.024946203063751244,-0.001819275692323763,0.060130328779957075,0.5551988093903113,0.09397762014353336,0.4385101818212168,0.6718874369594058,0.0035832380566603707,0.0016635736927134365,0.001517638494059201,0.00564883761926154
3,FOCAL_A025_G3,focal,5,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",1.0,True,True,0.02378055095649894,0.015005601253567705,0.005148636108542614,0.04241246580445526,0.14627496159754222,0.050145493494097686,0.08401110765375994,0.2085388155413245,0.07848227124604293,0.04243162637749368,0.025796448387875717,0.13116809410421015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7207603060972598,0.04408710475524262,0.666018935337637,0.7755016768568826,0.36051643882240614,0.01763900333756602,0.3386147234139543,0.38241815423085795,0.03828051169683237,0.018877311370246286,0.014841233785514947,0.0617197896081498,0.021698496008889984,0.024992173594253833,-0.009333386179953829,0.052730378197733796,0.8290870008567858,0.03219071727046858,0.7891169461456887,0.8690570555678828,0.053311795877257186,0.018940360524153817,0.02979423210141557,0.0768293596530988,0.5364177310391739,0.06852737329354382,0.4513297587291103,0.6215057033492375,0.02324922751640755,0.025923243684166992,-0.008938730882885774,0.055437185915700876
4,F_RECORD_BALANCED_CE_P025,record_balanced,5,"{""class_weight_power"": 0.25, ""config_id"": ""F_RECORD_BALANCED_CE_P025"", ""family"": ""record_balanced"", ""kind"": ""record_balanced_ce""}",1.0,True,True,0.01878816582657674,0.017095158152593003,-0.0024382765950976028,0.04001460824825108,0.14428571428571427,0.0670820393249937,0.060992361129780306,0.22757906744164824,0.02306738021711658,0.02425947493741412,-0.0070547364279971055,0.05318949686223026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358594585699004,0.03793987407685353,0.688750882832287,0.7829680343075138,0.36613665318817123,0.012327375248946747,0.3508301951492059,0.3814431112271366,0.03943505167158664,0.008639173644380741,0.028708100783128243,0.050162002560045035,0.003606396880214287,0.0010426489849579758,0.002311777172828268,0.004901016587600306,0.8415955627575308,0.02881785356965195,0.805813471474586,0.8773776540404755,0.07526370646295899,0.016754445960164413,0.0544603141043723,0.09606709882154568,0.5440809466519809,0.03960771234956553,0.4949014761763147,0.5932604171276472,0.003606396880214287,0.0010426489849579758,0.002311777172828268,0.004901016587600306
5,WGAN_F_RECORD_BALANCED_X5,wgan_f_record_balanced,5,"{""config_id"": ""WGAN_F_RECORD_BALANCED_X5"", ""family"": ""wgan_f_record_balanced"", ""kind"": ""wgan_f_record_balanced"", ""wgan_factor"": 5}",0.0,False,False,0.07138755980861244,0.03673570478946138,0.025774157722896575,0.11700096189432832,0.14857142857142858,0.06895724792084097,0.0629496964129088,0.23419316072994834,0.06948847117794486,0.04248106823365745,0.01674125814697474,0.12223568420891498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581420225458734,0.05624323311233511,0.6883068248477049,0.8279772202440419,0.354624861484406,0.028306558737374216,0.31947762658716816,0.3897720963816438,0.03882424045767875,0.018443468067760073,0.01592365015592028,0.06172483075943722,0.012802252743764151,0.002830115912186394,0.009288199704858693,0.01631630578266961,0.8545428047767347,0.0396391567156308,0.8053242909637789,0.9037613185896906,0.06484622817159336,0.035214209723680605,0.021122011732502152,0.10857044461068456,0.4863081602455317,0.08901397024976955,0.3757827180492117,0.5968336024418517,0.012802252743764151,0.002830115912186394,0.009288199704858693,0.01631630578266961
6,WGAN_F_RECORD_BALANCED_X10,wgan_f_record_balanced,5,"{""config_id"": ""WGAN_F_RECORD_BALANCED_X10"", ""family"": ""wgan_f_record_balanced"", ""kind"": ""wgan_f_record_balanced"", ""wgan_factor"": 10}",0.0,False,False,0.052153275358954386,0.04943593582092673,-0.009229546367402294,0.11353609708531107,0.12571428571428572,0.008144110179279563,0.11560203730726946,0.13582653412130197,0.058982212386861445,0.049947732615418676,-0.0030360889936119767,0.12100051376733487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7719410845058834,0.01697173910281649,0.7508678870750091,0.7930142819367577,0.36588803750070775,0.012448579795236404,0.3504310841401959,0.3813449908612196,0.037058008414946955,0.015067608377276262,0.018349101553849546,0.05576691527604437,0.013899324760863321,0.010103532439021215,0.0013541322766467863,0.026444517245079856,0.8697700738602696,0.013778390287975069,0.8526619426864905,0.8868782050340487,0.060216692069030596,0.024209715523538424,0.030156359896698084,0.09027702424136311,0.5196660593126674,0.058335382878125855,0.44723311457146614,0.5920990040538687,0.013899324760863321,0.010103532439021215,0.0013541322766467863,0.026444517245079856
7,WGAN_F_RECORD_BALANCED_X20,wgan_f_record_balanced,5,"{""config_id"": ""WGAN_F_RECORD_BALANCED_X20"", ""family"": ""wgan_f_record_balanced"", ""kind"": ""wgan_f_record_balanced"", ""wgan_factor"": 20}",0.0,False,False,0.0325075770384086,0.01165834462348517,0.018031830240774618,0.046983323836042576,0.12285714285714285,0.003194382824999701,0.11889079270686027,0.1268234930074254,0.03369393733102151,0.010618500679100341,0.02050932732288037,0.04687854733916265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7548753394223648,0.02455184191152326,0.7243902012312361,0.7853604776134936,0.35658517823061586,0.0180712998398807,0.3341466958186905,0.3790236606425412,0.025820295028891972,0.003837726639750962,0.021055128025365688,0.030585462032418256,0.011736934264553845,0.00708828985166201,0.002935659946912011,0.02053820858219568,0.8546315943948448,0.01896682671939626,0.8310811684972013,0.8781820202924884,0.03990365579323009,0.01366334268104673,0.022938375091053436,0.05686893649540674,0.5200685284698349,0.0563296301563435,0.45012605467256994,0.5900110022670998,0.011736934264553845,0.00708828985166201,0.002935659946912011,0.02053820858219568
