window,window_before,window_after,n_runs,Macro_mean,Macro_std,F1_N_mean,F1_S_mean,F1_V_mean,F1_F_mean,Min_Rare_mean,Rare_weighted_mean,best_epoch_median,time_s
65x110,65,110,15,0.456943335607787,0.023668818704707394,0.9381484279002347,0.20183687143127285,0.6373650034123568,0.05042303968728353,0.05042303968728353,0.11098857238487927,6.0,1554.0
75x120,75,120,15,0.43594445621033645,0.044910358827049836,0.9141202815623437,0.21322412827600112,0.5711207985746529,0.04531261642834819,0.030152019449569394,0.11247722116740937,5.0,1666.9
90x140,90,140,15,0.42998411204948966,0.02873805983160837,0.928327848614165,0.2300183692247779,0.5112307591744476,0.0503594711845683,0.0503594711845683,0.12222303040065215,3.0,1592.1000000000001
90x144,90,144,15,0.4177882204314491,0.02855006702676938,0.9131206769062943,0.2472444257400552,0.46219562779604456,0.048592151283402295,0.04721188903357482,0.12805306106606346,6.0,1860.4999999999995
70x105,70,105,15,0.41223302638418763,0.040476120466443104,0.9197459745487303,0.1932232483010518,0.5063963199999251,0.029566562687043843,0.028477238068307455,0.09502923693264703,4.0,1356.8999999999999
