window,window_before,window_after,n_runs,Macro_mean,Macro_std,F1_N_mean,F1_S_mean,F1_V_mean,F1_F_mean,Min_Rare_mean,Rare_weighted_mean,best_epoch_median,time_s
65x110,65,110,6,0.45347318843530005,0.04704754000636751,0.8975899414465413,0.24098625758517933,0.6369871403786681,0.0383294143308113,0.0383294143308113,0.11939215163255851,7.0,666.8000000000001
70x105,70,105,6,0.452313051503362,0.0348714313680683,0.9355487692001966,0.21335741196155586,0.5608753194523296,0.09947070539936602,0.07216162090447813,0.14502538802424195,3.5,570.1
90x140,90,140,6,0.4384887148780838,0.025226590381269214,0.9287269668496462,0.21454671149317242,0.579755188447221,0.030925992722295514,0.030925992722295514,0.10437428023064628,2.5,599.3000000000001
75x120,75,120,6,0.4356133641266173,0.065209154312416,0.9041659980540314,0.24400006578438638,0.5166328917799091,0.07765450088814199,0.07444280210448749,0.14419272684663972,6.5,664.4
90x144,90,144,6,0.42842799756357935,0.03294136914367426,0.9040278779521403,0.24592987637395222,0.546484538638429,0.017269697289795532,0.017269697289795532,0.1087337689234582,5.0,707.0
95x144,95,144,6,0.4278899748467659,0.04450517621995746,0.8813479439085402,0.21355963311338463,0.5908679849580697,0.025784337407069004,0.025784337407069004,0.10089445568959525,9.0,3774.3
75x110,75,110,6,0.42773927112109705,0.018471312320692955,0.9347810159044262,0.22045556513171352,0.5409531349492777,0.014767368498970883,0.014767368498970883,0.09704264715206795,7.5,726.4
70x115,70,115,6,0.4226954657327477,0.04940027420704024,0.9209928067233705,0.20411500258717905,0.5422889596585794,0.023385093961861683,0.023385093961861683,0.09567705741198858,6.0,632.6
70x110,70,110,6,0.4223592148794248,0.042153490605149044,0.9103693483203322,0.22278732407960555,0.5038939308388347,0.052386256278926756,0.05016628783177777,0.12054668339919826,3.5,600.3
85x137,85,137,6,0.4221964753896658,0.027294891546462516,0.8808982634431736,0.23599360205332895,0.544723141057283,0.02717089500487785,0.02717089500487785,0.11069997782425829,3.5,618.0
80x140,80,140,6,0.4170545722665195,0.057308911417578885,0.9033001958030306,0.18532222713106025,0.49669339829486686,0.08290246783711987,0.08290246783711987,0.123870371554696,5.0,667.0
90x150,90,150,6,0.4138086165470365,0.026990284559105196,0.8848373466478693,0.24190426666165507,0.5161388869303679,0.0123539659482539,0.0123539659482539,0.10417408623361439,9.0,3989.9
80x120,80,120,6,0.4104462216186278,0.02032920576502288,0.9176543647854789,0.21313090315830577,0.48554851409152633,0.025451104439200567,0.025451104439200567,0.10052302392684265,4.5,661.0
85x144,85,144,6,0.4053051139828161,0.044253843678321074,0.9060840274214604,0.1911271481468393,0.4563124338824025,0.067696846480562,0.067696846480562,0.11706896714707292,4.0,600.6
80x130,80,130,6,0.3990304848325103,0.021685501533333342,0.891310892916338,0.19686022593509492,0.40405823325821827,0.10389258722038953,0.07304895026875637,0.14107964270627169,6.5,731.9
