phase,window,window_before,window_after,seed,n_train_raw,n_val,time_s,F1_N,F1_S,F1_V,F1_F,Macro_F1,Min_Rare_F1,Rare_F1_weighted,best_epoch,n_train_after_resampling
confirm,65x110,65,110,1001,37862,13142,91.0,0.9764588859416445,0.20614035087719298,0.6634615384615384,0.16666666666666666,0.5031818604867606,0.16666666666666666,0.1824561403508772,4,44690
confirm,65x110,65,110,1002,37862,13142,68.3,0.927161392540573,0.1191961191961192,0.6939759036144578,0.03292181069958848,0.44331380651268465,0.03292181069958848,0.06743153409820077,1,44690
confirm,65x110,65,110,1003,37862,13142,113.7,0.9402776009168471,0.23920265780730898,0.7439544807965861,0.008368200836820083,0.48295073508939057,0.008368200836820083,0.10070198362501565,7,44690
confirm,65x110,65,110,1004,37862,13142,121.2,0.9091230707999823,0.313953488372093,0.53596757852077,0.005080440304826418,0.44103114449941794,0.005080440304826418,0.12862965953173308,8,44690
confirm,65x110,65,110,1005,37862,13142,91.0,0.9532014553970976,0.15555555555555556,0.5309360126916975,0.125,0.4411732559110877,0.125,0.13722222222222222,4,44690
confirm,65x110,65,110,1006,37862,13142,106.4,0.9628851246269597,0.23382045929018788,0.6131639722863741,0.0,0.45246738905088046,0.0,0.09352818371607516,6,44690
confirm,65x110,65,110,1007,37862,13142,166.7,0.9702708290262559,0.17391304347826086,0.637101811367895,0.06557377049180328,0.4617148635910538,0.06557377049180328,0.10890947968638631,14,44690
confirm,65x110,65,110,1008,37862,13142,68.3,0.9570395925743388,0.13892529488859764,0.6295652173913043,0.08695652173913043,0.4531216566483428,0.08695652173913043,0.10774403099891733,1,44690
confirm,65x110,65,110,1009,37862,13142,90.9,0.967346428124609,0.2569832402234637,0.699357851722125,0.03636363636363636,0.4900127891084585,0.03636363636363636,0.1246114779075673,4,44690
confirm,65x110,65,110,1010,37862,13142,106.1,0.8001359289285888,0.23297491039426524,0.6768447837150128,0.0016877637130801688,0.42791084668773677,0.0016877637130801688,0.0942026223855542,6,44690
confirm,65x110,65,110,1011,37862,13142,106.0,0.9289730945583528,0.12682926829268293,0.6968599033816425,0.00909090909090909,0.44043829383089683,0.00909090909090909,0.05618625277161863,6,44690
confirm,65x110,65,110,1012,37862,13142,75.9,0.9396205212430306,0.28113879003558717,0.5026041666666666,0.0,0.43084086948632105,0.0,0.11245551601423487,2,44690
confirm,65x110,65,110,1013,37862,13142,106.0,0.9443784975411226,0.14761904761904762,0.638004246284501,0.00510204081632653,0.43377595806524943,0.00510204081632653,0.06210884353741497,6,44690
confirm,65x110,65,110,1014,37862,13142,75.8,0.9306939308244507,0.17412935323383086,0.6594202898550725,0.17142857142857143,0.4839180363354814,0.17142857142857143,0.1725088841506752,2,44690
confirm,70x105,70,105,1000,37862,13141,106.1,0.8449616011170584,0.339041095890411,0.3113690679412769,0.0,0.3738429412371866,0.0,0.1356164383561644,6,44690
confirm,70x105,70,105,1001,37862,13141,90.9,0.9238065961090861,0.2222222222222222,0.424048381358947,0.0,0.39251929992256385,0.0,0.08888888888888889,4,44690
confirm,70x105,70,105,1002,37862,13141,68.3,0.9537593829054867,0.1986455981941309,0.43393939393939396,0.10526315789473684,0.422901883233437,0.10526315789473684,0.14261613401449447,1,44690
confirm,70x105,70,105,1003,37862,13141,91.0,0.8382020354315869,0.2606837606837607,0.5874043555032372,0.009685230024213076,0.4239938454106995,0.009685230024213076,0.11008464228803214,4,44690
confirm,70x105,70,105,1004,37862,13141,113.6,0.8751246035342093,0.214123006833713,0.36822507240380636,0.01032448377581121,0.36694929163688494,0.01032448377581121,0.09184389299897192,7,44690
confirm,70x105,70,105,1005,37862,13141,113.7,0.974171859626107,0.20588235294117646,0.6515704894083273,0.2222222222222222,0.5134617310494582,0.20588235294117646,0.21568627450980393,7,44690
confirm,70x105,70,105,1006,37862,13141,136.3,0.9524770796534612,0.2242562929061785,0.4696652719665272,0.0,0.41159966113154167,0.0,0.0897025171624714,10,44690
confirm,70x105,70,105,1007,37862,13141,68.3,0.9596172090912841,0.08056042031523643,0.6455479452054794,0.04666666666666667,0.43309806031966663,0.04666666666666667,0.060224168126094574,1,44690
confirm,70x105,70,105,1008,37862,13141,68.3,0.9637339671351883,0.17672413793103448,0.5746569814366425,0.022727272727272728,0.4344605898075345,0.022727272727272728,0.08432601880877744,1,44690
confirm,70x105,70,105,1009,37862,13141,91.0,0.9489341865491376,0.16152019002375298,0.7382992748846408,0.0,0.46218841286438284,0.0,0.06460807600950119,4,44690
confirm,70x105,70,105,1010,37862,13141,75.9,0.96085113456903,0.18809980806142035,0.5011904761904762,0.0,0.4125353547052316,0.0,0.07523992322456814,2,44690
confirm,70x105,70,105,1011,37862,13141,68.3,0.959864142815723,0.03535353535353535,0.49534883720930234,0.0,0.37264162884464014,0.0,0.014141414141414142,1,44690
confirm,70x105,70,105,1012,37862,13141,75.8,0.935703805989471,0.20982142857142858,0.45614035087719296,0.019138755980861243,0.4052010853547384,0.019138755980861243,0.09541182501708818,2,44690
confirm,70x105,70,105,1013,37862,13141,113.6,0.8798737885958982,0.19700214132762311,0.5330296127562643,0.007470651013874066,0.40434404842341487,0.007470651013874066,0.08328324713937368,7,44690
confirm,70x105,70,105,1014,37862,13141,75.8,0.8251082251082251,0.18441273326015367,0.40550928891736066,0.0,0.35375756182143486,0.0,0.07376509330406147,2,44690
confirm,75x120,75,120,1000,37861,13141,76.0,0.970084943986212,0.1575178997613365,0.5830461750516885,0.046511627906976744,0.43929016167655344,0.046511627906976744,0.09091413664872065,2,44689
confirm,75x120,75,120,1001,37861,13141,113.6,0.9486696894516212,0.23788546255506607,0.7426257952573742,0.024965325936199722,0.4885365683000653,0.024965325936199722,0.11013338058374628,7,44689
confirm,75x120,75,120,1002,37861,13141,90.9,0.9602405047211754,0.20985010706638116,0.6394686907020873,0.022222222222222223,0.45794538117796646,0.022222222222222223,0.09727337615988581,4,44689
confirm,75x120,75,120,1003,37861,13141,113.6,0.862812369604525,0.28105906313645623,0.2724188075618032,0.08333333333333333,0.3749058934090294,0.08333333333333333,0.16242362525458248,7,44689
confirm,75x120,75,120,1004,37861,13141,83.4,0.8016951629402309,0.08028335301062574,0.34177215189873417,0.3076923076923077,0.38286074388547464,0.08028335301062574,0.21672872581963493,3,44689
confirm,75x120,75,120,1005,37861,13141,136.3,0.969546095759688,0.3053435114503817,0.8096632503660323,0.013793103448275862,0.5245864902560945,0.013793103448275862,0.1304132666491182,10,44689
confirm,75x120,75,120,1006,37861,13141,113.5,0.9372098068995444,0.20566318926974664,0.5996074582924436,0.003787878787878788,0.43656708331240335,0.003787878787878788,0.08453800298062593,7,44689
confirm,75x120,75,120,1007,37861,13141,68.2,0.7909610034652741,0.2563106796116505,0.5211200759373517,0.004415011037527594,0.393201692512951,0.004415011037527594,0.10517327846717676,1,44689
confirm,75x120,75,120,1008,37861,13141,159.0,0.9147989884015,0.21333333333333335,0.39160200821542673,0.019801980198019802,0.38488407753707,0.019801980198019802,0.09721452145214522,13,44689
confirm,75x120,75,120,1009,37861,13141,227.4,0.8825896122896855,0.21100917431192662,0.4147638411010322,0.007722007722007722,0.379021158856163,0.007722007722007722,0.08903687435797528,22,44689
confirm,75x120,75,120,1010,37861,13141,98.5,0.9620638612814548,0.15492957746478872,0.6666666666666666,0.04487179487179487,0.4571329750711763,0.04487179487179487,0.08889490790899242,5,44689
confirm,75x120,75,120,1011,37861,13141,91.0,0.9494572591587517,0.20046620046620048,0.7656348704990524,0.0058309037900874635,0.48034730847852297,0.0058309037900874635,0.08368502246053268,4,44689
confirm,75x120,75,120,1012,37861,13141,113.6,0.9535587871551026,0.16152019002375298,0.6050593701600413,0.029473684210526315,0.4374030078873558,0.029473684210526315,0.08229228653581698,7,44689
confirm,75x120,75,120,1013,37861,13141,98.5,0.8568767174328163,0.2748414376321353,0.6598639455782312,0.004662004662004662,0.44906102632629696,0.004662004662004662,0.11273377785005693,5,44689
confirm,75x120,75,120,1014,37861,13141,83.4,0.9512394208875714,0.24834874504623514,0.5534988713318284,0.06060606060606061,0.45342327446792385,0.06060606060606061,0.13570313438213044,3,44689
confirm,90x140,90,140,1000,37856,13141,139.4,0.8557950235870873,0.2800875273522976,0.6078549848942598,0.003924646781789639,0.4369155456538586,0.003924646781789639,0.11438979900999283,9,44683
confirm,90x140,90,140,1001,37856,13141,90.2,0.9422726695184448,0.2383838383838384,0.5926395939086294,0.04,0.4533240254527282,0.04,0.11935353535353535,3,44683
confirm,90x140,90,140,1002,37856,13141,74.0,0.9398708806278746,0.23564954682779457,0.38924731182795697,0.0,0.39119193482090653,0.0,0.09425981873111783,1,44683
confirm,90x140,90,140,1003,37856,13141,82.0,0.9541581812892233,0.18992248062015504,0.5714285714285714,0.0,0.4288773083344874,0.0,0.07596899224806203,2,44683
confirm,90x140,90,140,1004,37856,13141,139.4,0.9241257972289422,0.23161764705882354,0.4941707408800301,0.01744186046511628,0.416839011408228,0.01744186046511628,0.10311217510259918,9,44683
confirm,90x140,90,140,1005,37856,13141,114.6,0.9031624960970606,0.27459016393442626,0.3536214242239805,0.0898876404494382,0.40531543117622637,0.0898876404494382,0.16376864984343342,6,44683
confirm,90x140,90,140,1006,37856,13141,74.0,0.9388508834515465,0.2007042253521127,0.38461538461538464,0.14634146341463414,0.4176279892084195,0.14634146341463414,0.16808656818962556,1,44683
confirm,90x140,90,140,1007,37856,13141,98.8,0.9680982606545214,0.19666048237476808,0.6312594840667678,0.08588957055214724,0.47047694941205115,0.08588957055214724,0.13019793528119558,4,44683
confirm,90x140,90,140,1008,37856,13141,90.2,0.9063038388479039,0.19545454545454546,0.487022180273714,0.009208103130755065,0.39949716692672965,0.009208103130755065,0.08370668006027122,3,44683
confirm,90x140,90,140,1009,37856,13141,155.7,0.9183009409902383,0.259958071278826,0.5224641037517369,0.01991150442477876,0.43015865511139495,0.01991150442477876,0.11593013116639765,11,44683
confirm,90x140,90,140,1010,37856,13141,196.7,0.9670529801324503,0.23234624145785876,0.5395292697646349,0.23076923076923078,0.4924244305310437,0.23076923076923078,0.23140003504468198,16,44683
confirm,90x140,90,140,1011,37856,13141,74.1,0.9584792396198099,0.14727540500736377,0.5727040816326531,0.0,0.4196146815649566,0.0,0.058910162002945514,1,44683
confirm,90x140,90,140,1012,37856,13141,82.0,0.8720515942813332,0.26587301587301587,0.56972408650261,0.0088339222614841,0.4291206547296108,0.0088339222614841,0.11164955970609682,2,44683
confirm,90x140,90,140,1013,37856,13141,107.1,0.9065613499685845,0.22707423580786026,0.38543160309721824,0.07272727272727272,0.39794861540023396,0.07272727272727272,0.13446605795950775,5,44683
confirm,90x140,90,140,1014,37856,13141,73.9,0.9698335929174523,0.27467811158798283,0.5667485667485668,0.030456852791878174,0.46042928101147,0.030456852791878174,0.12814535631032004,1,44683
confirm,90x144,90,144,1000,37854,13141,124.3,0.9479365888903056,0.22477064220183487,0.570675105485232,0.0,0.43584558414434316,0.0,0.08990825688073395,7,44681
