metric,representation_a,representation_b,n_pairs,mean_a,mean_b,mean_diff_a_minus_b,CI95_low,CI95_high,cohens_dz,p_ttest,p_wilcoxon,p_ttest_holm,p_wilcoxon_holm
Rare_Macro_SF,RAW_1D_65x110,STFT_T29,10,0.06867139713034044,0.18834650559155855,-0.11967510846121812,-0.15706296411035997,-0.08228725281207629,-2.289792068206004,4.8633832679101194e-05,0.001953125,0.00043770449411191075,0.01953125
Rare_Macro_SF,RAW_1D_65x110,CWT_T39,10,0.06867139713034044,0.10945624120358269,-0.04078484407324224,-0.06306928023881356,-0.018500407907670914,-1.3092420041807888,0.0025209370314163504,0.001953125,0.014592298408164872,0.01953125
Rare_Macro_SF,RAW_1D_65x110,DWT_T7,10,0.06867139713034044,0.0680692828885334,0.0006021142418070342,-0.03677372997134349,0.03797795845495756,0.011524196714172038,0.9717248666552234,1.0,1.0,1.0
Rare_Macro_SF,RAW_1D_65x110,SWT_T0,10,0.06867139713034044,0.09603379202563674,-0.027362394895296294,-0.07510037326959157,0.020375583478998975,-0.4100273790242854,0.22701805236842162,0.322265625,0.7998453625721982,0.966796875
Rare_Macro_SF,STFT_T29,CWT_T39,10,0.18834650559155855,0.10945624120358269,0.07889026438797586,0.050667613694866984,0.10711291508108474,1.9996242046451078,0.0001371294971341003,0.001953125,0.0010970359770728023,0.01953125
Rare_Macro_SF,STFT_T29,DWT_T7,10,0.18834650559155855,0.0680692828885334,0.12027722270302514,0.08789727866639585,0.15265716673965443,2.657235657861976,1.4916732812927852e-05,0.001953125,0.0001491673281292785,0.01953125
Rare_Macro_SF,STFT_T29,SWT_T0,10,0.18834650559155855,0.09603379202563674,0.09231271356592181,0.0455222243522281,0.13910320277961552,1.4113239307739367,0.0015704462455166908,0.00390625,0.010993123718616837,0.01953125
Rare_Macro_SF,CWT_T39,DWT_T7,10,0.10945624120358269,0.0680692828885334,0.04138695831504927,0.01890458380445795,0.0638693328256406,1.3168736440438984,0.0024320497346941453,0.001953125,0.014592298408164872,0.01953125
Rare_Macro_SF,CWT_T39,SWT_T0,10,0.10945624120358269,0.09603379202563674,0.013422449177945942,-0.033785774186429085,0.06063067254232096,0.20339341391031954,0.5361446556664646,0.6953125,1.0,1.0
Rare_Macro_SF,DWT_T7,SWT_T0,10,0.0680692828885334,0.09603379202563674,-0.027964509137103327,-0.0737004660503443,0.017771447776137643,-0.4373933789501491,0.19996134064304955,0.16015625,0.7998453625721982,0.640625
Macro_F1,RAW_1D_65x110,STFT_T29,10,0.2987378490386404,0.40330170594024545,-0.10456385690160505,-0.13429806590967677,-0.07482964789353333,-2.5156370270698702,2.3151217850055424e-05,0.001953125,0.00019755222041216322,0.01953125
Macro_F1,RAW_1D_65x110,CWT_T39,10,0.2987378490386404,0.3761124131175865,-0.07737456407894605,-0.0992308259432023,-0.0555183022146898,-2.532474633836243,2.195024671246258e-05,0.001953125,0.00019755222041216322,0.01953125
