representation_id,method,source_trial,role,seed,train_subset_seed,n_train,n_val,Macro_F1,Rare_Macro_SF,Min_Rare_F1,F1_N,F1_S,F1_V,F1_F,Precision_N,Precision_S,Precision_V,Precision_F,Recall_N,Recall_S,Recall_V,Recall_F,best_epoch,time_s,n_parameters,cm_json,config_json
RAW_1D_65x110,RAW_1D,,raw_window_winner,2000,20260810,4958,13142,0.3172905725553625,0.09082834125180747,0.05825242718446602,0.8275763084872261,0.12340425531914893,0.25992929923060926,0.05825242718446602,0.9715794203549765,0.32954545454545453,0.15367592820260634,0.03529411764705882,0.72075,0.07591623036649214,0.8423180592991913,0.16666666666666666,26,43.54795026779175,76004,"[[8649,36,3235,80],[154,29,199,0],[92,23,625,2],[7,0,8,3]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2001,20260810,4958,13142,0.3078583758830999,0.07847157502329916,0.014414414414414415,0.8020030438411311,0.1425287356321839,0.27248730964467005,0.014414414414414415,0.9759827936432071,0.5849056603773585,0.16041118814248148,0.0074487895716946,0.6806666666666666,0.08115183246073299,0.9043126684636119,0.2222222222222222,21,33.56195688247681,76004,"[[8168,4,3303,525],[150,31,200,1],[46,18,671,7],[5,0,9,4]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2002,20260810,4958,13142,0.26974346816198946,0.015384615384615385,0.0,0.7750669443617971,0.03076923076923077,0.27313769751693,0.0,0.9570168993387216,0.75,0.16404555314533623,0.0,0.65125,0.015706806282722512,0.8153638814016172,0.0,2,11.645670175552368,76004,"[[7815,1,2910,1274],[215,6,156,5],[135,1,605,1],[1,0,17,0]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2003,20260810,4958,13142,0.3284196285091321,0.02735072598804255,0.009433962264150943,0.8944808816311962,0.04526748971193416,0.364496180429247,0.009433962264150943,0.9626428502832998,0.10576923076923077,0.24962630792227206,0.0048543689320388345,0.8353333333333334,0.028795811518324606,0.6752021563342318,0.16666666666666666,11,22.03583598136902,76004,"[[10024,6,1368,602],[232,11,137,2],[143,87,501,11],[14,0,1,3]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2004,20260810,4958,13142,0.26900548489103526,0.07347522054439687,0.0046146746654360865,0.6888877056599755,0.14233576642335766,0.24018379281537175,0.0046146746654360865,0.9539890871552869,0.23493975903614459,0.1421156697973307,0.002326663564448581,0.5390833333333334,0.10209424083769633,0.7749326145552561,0.2777777777777778,5,15.107227563858032,76004,"[[6469,120,3284,2127],[154,39,175,14],[157,7,575,3],[1,0,12,5]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2005,20260810,4958,13142,0.28527279661223826,0.021017353449818116,0.007804878048780488,0.8024324981756263,0.034229828850855744,0.29662398137369034,0.007804878048780488,0.9639976621858563,0.25925925925925924,0.17928511117365606,0.003972194637537239,0.68725,0.01832460732984293,0.8584905660377359,0.2222222222222222,10,20.725632905960083,76004,"[[8247,4,2758,991],[216,7,154,5],[82,16,637,7],[10,0,4,4]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2006,20260810,4958,13142,0.2941681449785861,0.10239651416122005,0.0,0.7347952006619777,0.2047930283224401,0.23708435092992675,0.0,0.9683751363140676,0.6103896103896104,0.13774285090591573,0.0,0.592,0.12303664921465969,0.8504043126684636,0.0,1,10.534705877304077,76004,"[[7104,26,3728,1142],[126,47,204,5],[106,4,631,1],[0,0,18,0]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2007,20260810,4958,13142,0.3019734362457089,0.15173794875029387,0.007855459544383346,0.6543696872048447,0.2956204379562044,0.2500481602774032,0.007855459544383346,0.981663610601767,0.4879518072289157,0.1458754776354237,0.003955696202531646,0.49075,0.21204188481675393,0.8746630727762803,0.5555555555555556,22,34.66154408454895,76004,"[[5889,30,3587,2494],[83,81,207,11],[25,55,649,13],[2,0,6,10]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2008,20260810,4958,13142,0.3095922320855056,0.06495726495726496,0.0,0.8447636483124442,0.12991452991452992,0.26369075011504833,0.0,0.9672148769214232,0.18719211822660098,0.15899001109877914,0.0,0.7498333333333334,0.09947643979057591,0.7722371967654986,0.0,12,22.97544264793396,76004,"[[8998,131,2841,30],[166,38,176,2],[135,34,573,0],[4,0,14,0]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
RAW_1D_65x110,RAW_1D,,raw_window_winner,2009,20260810,4958,13142,0.3040543504637459,0.06109441179264645,0.0054453520031116295,0.7520146893808018,0.11674347158218126,0.3420138888888889,0.0054453520031116295,0.9692348146200368,0.1412639405204461,0.21775976418570375,0.0027418723070896985,0.6143333333333333,0.09947643979057591,0.7964959568733153,0.3888888888888889,13,24.18870258331299,76004,"[[7372,194,1932,2502],[142,38,183,19],[89,37,591,25],[3,0,8,7]]","{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}"
STFT_T29,STFT,29,confirmed_method_winner,2000,20260810,4958,13142,0.4419252654369751,0.21614532100465605,0.02564102564102564,0.9083750894774517,0.40664961636828645,0.4270353302611367,0.02564102564102564,0.9806800618238022,0.3975,0.29860365198711064,0.013257575757575758,0.846,0.4162303664921466,0.7493261455525606,0.3888888888888889,28,137.31037878990173,90372,"[[10152,222,1134,492],[50,159,169,4],[142,19,556,25],[8,0,3,7]]","{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}"
