representation_id,method,source_trial,role,n_runs,n_parameters,config_json,Macro_F1_mean,Macro_F1_std,Macro_F1_CI95_low,Macro_F1_CI95_high,Rare_Macro_SF_mean,Rare_Macro_SF_std,Rare_Macro_SF_CI95_low,Rare_Macro_SF_CI95_high,Min_Rare_F1_mean,Min_Rare_F1_std,Min_Rare_F1_CI95_low,Min_Rare_F1_CI95_high,F1_N_mean,F1_N_std,F1_N_CI95_low,F1_N_CI95_high,F1_S_mean,F1_S_std,F1_S_CI95_low,F1_S_CI95_high,F1_V_mean,F1_V_std,F1_V_CI95_low,F1_V_CI95_high,F1_F_mean,F1_F_std,F1_F_CI95_low,F1_F_CI95_high,Precision_N_mean,Precision_N_std,Precision_N_CI95_low,Precision_N_CI95_high,Precision_S_mean,Precision_S_std,Precision_S_CI95_low,Precision_S_CI95_high,Precision_V_mean,Precision_V_std,Precision_V_CI95_low,Precision_V_CI95_high,Precision_F_mean,Precision_F_std,Precision_F_CI95_low,Precision_F_CI95_high,Recall_N_mean,Recall_N_std,Recall_N_CI95_low,Recall_N_CI95_high,Recall_S_mean,Recall_S_std,Recall_S_CI95_low,Recall_S_CI95_high,Recall_V_mean,Recall_V_std,Recall_V_CI95_low,Recall_V_CI95_high,Recall_F_mean,Recall_F_std,Recall_F_CI95_low,Recall_F_CI95_high
STFT_T29,STFT,29.0,confirmed_method_winner,10,90372,"{""method"": ""STFT"", ""image_size"": [128, 128], ""norm_type"": ""sqrt"", ""clip_pct"": 5, ""nperseg"": 64, ""window"": ""hamming"", ""noverlap_pct"": 0.25, ""nfft"": 64}",0.40330170594024545,0.03191958526699039,0.3804678101832202,0.4261356016972707,0.18834650559155855,0.04622603158872062,0.1552783946581321,0.221414616524985,0.054863220043821395,0.04314009495753605,0.02400265519095522,0.08572378489668757,0.8911376481731574,0.02328823075222205,0.8744782514763053,0.9077970448700096,0.3203099937789438,0.09952326372437517,0.2491153397672132,0.3915046477906744,0.34537616440470703,0.041665646935048255,0.3155703561272484,0.3751819726821657,0.05638301740417334,0.0465524959647612,0.023081367924787086,0.0896846668835596,0.9736318539130802,0.005666830713801803,0.9695780474268952,0.9776856603992651,0.5217069804873814,0.17094888398690544,0.39941751575634904,0.6439964452184137,0.22492859974572882,0.03792309855363004,0.19780004929891315,0.2520571501925445,0.04122129473412165,0.04158275421384946,0.011474784337228698,0.07096780513101461,0.8222916666666666,0.039290549746506684,0.7941849005654247,0.8503984327679086,0.24371727748691102,0.09792154557861994,0.17366842361219326,0.3137661313616288,0.7630727762803236,0.030480608352592274,0.7412682625965707,0.7848772899640764,0.19444444444444445,0.11785113019775795,0.11013882457894729,0.2787500643099416
CWT_T39,CWT,39.0,confirmed_method_winner,10,90372,"{""method"": ""CWT"", ""image_size"": [128, 160], ""norm_type"": ""linear"", ""clip_pct"": 2, ""wavelet"": ""gaus8"", ""scale_min"": 2.0, ""scale_max"": 130.0, ""scale_type"": ""logarithmic"", ""num_scales"": 80}",0.3761124131175865,0.01536200048445738,0.36512309998123366,0.3871017262539393,0.10945624120358269,0.02543483381254812,0.09126125718311065,0.12765122522405473,0.025661190548625878,0.03747985620150003,-0.001150283420567083,0.05247266451781884,0.8998471326499139,0.037500364411936764,0.8730209879907556,0.9266732773090722,0.19325129185853948,0.03525068216958715,0.16803447292772528,0.2184681107893537,0.38569003741326624,0.024342030436141086,0.36827679783499434,0.40310327699153814,0.025661190548625878,0.03747985620150003,-0.001150283420567083,0.05247266451781884,0.9616986552074129,0.004245103060315946,0.9586618914165836,0.9647354189982422,0.6429289122448022,0.17010611960498737,0.521242324834496,0.7646154996551084,0.25907072851140095,0.014386893625947273,0.24877896480035994,0.26936249222244196,0.1148142717497556,0.31226093076751166,-0.1085637415451308,0.338192285044642,0.8475583333333334,0.06174594566087361,0.8033879446880468,0.8917287219786201,0.11675392670157066,0.025920783941337976,0.09821131490050287,0.13529653850263845,0.755121293800539,0.06642031213094854,0.7076070648197639,0.8026355227813142,0.033333333333333305,0.053671765726627525,-0.0050611349357979896,0.0717278016024646
SWT_T0,SWT,0.0,confirmed_method_winner,10,90372,"{""method"": ""SWT"", ""image_size"": [224, 192], ""norm_type"": ""linear"", ""clip_pct"": 3, ""wavelet"": ""sym4"", ""level"": 4}",0.36187121698875896,0.023841157864824436,0.3448162800633986,0.3789261539141193,0.09603379202563674,0.055861839357951866,0.05607263945971461,0.13599494459155886,0.05835476936982444,0.054518188177013586,0.019354806955425907,0.09735473178422298,0.8754436340362448,0.040850501639780504,0.8462209455751398,0.9046663224973498,0.09278453832987162,0.04130375497674901,0.06323761196400395,0.12233146469573929,0.37997364986751764,0.0623117364485248,0.33539851887494004,0.42454878086009523,0.09928304572140187,0.09781764852473175,0.029308515321694845,0.1692575761211089,0.9719310051407533,0.0015529412855789107,0.97082009786752,0.9730419124139865,0.11318155413974318,0.09316119997976186,0.04653804636405974,0.17982506191542663,0.24258256509012707,0.049277858948797916,0.20733130837878516,0.277833821801469,0.18227272727272728,0.23841813013070748,0.011718671370898937,0.3528267831745556,0.7987166666666666,0.06641718597315452,0.7512046740044587,0.8462286593288746,0.09685863874345549,0.04349017729276478,0.06574764007441891,0.12796963741249207,0.9020215633423181,0.03098134933196042,0.879858841140863,0.9241842855437732,0.09444444444444444,0.10159901277292742,0.021764889015733258,0.16712399987315563
RAW_1D_65x110,RAW_1D,,raw_window_winner,10,76004,"{""method"": ""RAW_1D"", ""window_before"": 65, ""window_after"": 110, ""segment_length"": 175}",0.2987378490386404,0.01941312519324505,0.28485053586483633,0.3126251622124445,0.06867139713034044,0.04154846999707971,0.03894941218468012,0.09839338207600076,0.01078211681247426,0.017324200404605496,-0.0016108695876862773,0.023175103212634794,0.7776390607717021,0.07259532454169634,0.7257074940183348,0.8295706275250694,0.12656067744820665,0.08139921768023806,0.06833118493860016,0.18479016995781314,0.27996954112217853,0.04263309456136842,0.2494716625040497,0.3104674197403074,0.01078211681247426,0.017324200404605496,-0.0016108695876862773,0.023175103212634794,0.9671697151418643,0.008301750968185787,0.9612310002549772,0.9731084300287515,0.3691216840353021,0.22360050651768254,0.20916751751538706,0.5290758505552171,0.1709527862209505,0.03592218025084706,0.1452556065003491,0.1966499659415519,0.00605937028623991,0.0105510479280191,-0.0014883947144825188,0.013607135286962339,0.6561250000000001,0.10196638614916677,0.5831826414895198,0.7290673585104803,0.08560209424083766,0.05849742486703517,0.04375555737967,0.12744863110200533,0.8164420485175201,0.06559711447563892,0.7695166996644641,0.8633673973705761,0.2,0.1799253007628314,0.07128919353727944,0.32871080646272055
DWT_T7,DWT,7.0,method_winner_by_primary_objective,10,90372,"{""method"": ""DWT"", ""image_size"": [224, 160], ""norm_type"": ""linear"", ""clip_pct"": 5, ""wavelet"": ""bior3.5"", ""level"": 3}",0.36494979916722975,0.014292671171181156,0.35472543813990487,0.37517416019455463,0.0680692828885334,0.02343249677641741,0.051306684494973685,0.0848318812820931,0.00034482758620689,0.001090440572471834,-0.0004352266078807154,0.0011248817802944956,0.8762622377202967,0.02158560119325712,0.86082082883679,0.8917036466038033,0.13579373819085996,0.04711336029147081,0.10209087054203948,0.16949660583968046,0.44739839317155566,0.018296440881702677,0.4343099078318223,0.46048687851128906,0.00034482758620689,0.001090440572471834,-0.0004352266078807154,0.0011248817802944956,0.9733877830624993,0.005277469182702332,0.9696125090365125,0.977163057088486,0.1070181259876291,0.04596373515752592,0.07413765061767386,0.13989860135758433,0.2969499195033225,0.010074242893731922,0.2897432402766874,0.3041565987299576,0.00017793594306049,0.0005626828576811803,-0.00022458312506299662,0.0005804550111839766,0.7974166666666667,0.035629697004633316,0.7719287168561302,0.8229046164772031,0.2089005235602094,0.08091974544015272,0.15101402482877768,0.26678702229164114,0.9079514824797844,0.0608381066238494,0.8644305227591588,0.95147244220041,0.00555555555555555,0.017568209223157646,-0.0070119842380783216,0.01812309534918942
