class_index,class_name,n_real,n_candidates,n_selected,candidate_acceptable_fraction,selected_acceptable_fraction,real_nn_median,real_nn_q01,real_nn_q99,screen_lower_limit,screen_upper_limit,selected_nn_mean,selected_nn_median,selected_nn_min,selected_nn_max,generated_self_nn_median,selected_to_real_nn_ratio,generated_self_to_real_nn_ratio,memorization_warning,mode_collapse_warning,distribution_shift_warning,excess_diversity_warning,final_seed,pool_seed,quality_attempt,robust_scale,quality_gate_passed,pool_finite,pool_standardized,source_pool_file
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.4820532761514187,2.5109065771102905,1.4044229984283447,2.9454431533813477,1.903429388999939,1.510877714909654,1.145342909991424,False,False,False,False,7100,1530000,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7100.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.6899330502978847,1.71440988779068,0.9877440929412842,1.980635166168213,1.4913964867591858,1.8300904129286235,1.5920290892691469,False,False,False,False,7100,1530000,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7100.npz
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.511291660652575,2.5414959192276,1.3575716018676758,3.0000386238098145,1.9900579452514648,1.5292841167009859,1.1974695626946317,False,False,False,False,7101,1530100,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7101.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.6249997765185753,1.6514085531234741,0.9734369516372681,1.9168550968170166,1.4300339221954346,1.762838036821097,1.5265260599640886,False,False,False,False,7101,1530100,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7101.npz
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.4464427506140733,2.4795020818710327,1.314512848854065,2.9050657749176025,1.9014853835105896,1.4919808143090798,1.1441731513877806,False,False,False,False,7102,1530200,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7102.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.6607304974166668,1.6883972883224487,0.9642661809921265,1.9395856857299805,1.4848655462265015,1.8023226024177368,1.5850574707889975,False,False,False,False,7102,1530200,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7102.npz
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.4575784136935814,2.4887791872024536,1.3216428756713867,2.9193267822265625,1.937015175819397,1.4975630895844285,1.1655523504006429,False,False,False,False,7103,1530300,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7103.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.66472101751445,1.6942412853240967,0.9842346906661987,1.9314594268798828,1.4850714802742004,1.8085609255644155,1.5852773003228058,False,False,False,False,7103,1530300,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7103.npz
1,S,944,11328,3776,0.9999117231638418,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.504244455530987,2.538643002510071,1.4364798069000244,2.9828500747680664,1.9591428637504578,1.527567442599965,1.1788671550541838,False,False,False,False,7104,1530400,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7104.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.7092047057290007,1.7413702011108398,1.0809698104858398,2.004772663116455,1.511363685131073,1.8588698846804805,1.6133435827130254,False,False,False,False,7104,1530400,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7104.npz
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.516622736513362,2.5502229928970337,1.380018711090088,2.9991400241851807,1.9694002866744995,1.5345354236367847,1.1850393128913639,False,False,False,False,7105,1530500,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7105.npz
3,F,414,4968,1656,1.0,1.0,0.9367897212505341,0.39792391657829285,9.501702833175662,0.09948097914457321,28.505108499526983,1.6806945175940289,1.7137731313705444,0.9619982242584229,1.954917311668396,1.4787827730178833,1.8294106911023789,1.5785642599107887,False,False,False,False,7105,1530500,1,4.472486972808838,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7105.npz
1,S,944,11328,3776,1.0,1.0,1.6618860363960266,0.4910755455493927,5.461463079452513,0.12276888638734818,16.38438923835754,2.4815634521892513,2.50838565826416,1.396660566329956,2.9746875762939453,1.9676615595817566,1.5093608125523796,1.1839930756316095,False,False,False,False,7106,1530600,1,4.842815399169922,True,True,True,/kaggle/working/final_ds2_locked_raw_stft_65x110/wgan_gp_pool_seed_7106.npz
