representation,config_id,role,family,n_seeds,n_train_samples,n_parameters,fixed_epochs,time_s_mean,config_json,Accuracy_mean,Accuracy_std,Accuracy_ci95_low,Accuracy_ci95_high,Weighted_F1_mean,Weighted_F1_std,Weighted_F1_ci95_low,Weighted_F1_ci95_high,Macro_F1_mean,Macro_F1_std,Macro_F1_ci95_low,Macro_F1_ci95_high,Rare_Macro_SF_mean,Rare_Macro_SF_std,Rare_Macro_SF_ci95_low,Rare_Macro_SF_ci95_high,Min_Rare_F1_mean,Min_Rare_F1_std,Min_Rare_F1_ci95_low,Min_Rare_F1_ci95_high,Rare_HMean_SF_mean,Rare_HMean_SF_std,Rare_HMean_SF_ci95_low,Rare_HMean_SF_ci95_high,F1_N_mean,F1_N_std,F1_N_ci95_low,F1_N_ci95_high,F1_S_mean,F1_S_std,F1_S_ci95_low,F1_S_ci95_high,F1_V_mean,F1_V_std,F1_V_ci95_low,F1_V_ci95_high,F1_F_mean,F1_F_std,F1_F_ci95_low,F1_F_ci95_high,Precision_N_mean,Precision_N_std,Precision_N_ci95_low,Precision_N_ci95_high,Precision_S_mean,Precision_S_std,Precision_S_ci95_low,Precision_S_ci95_high,Precision_V_mean,Precision_V_std,Precision_V_ci95_low,Precision_V_ci95_high,Precision_F_mean,Precision_F_std,Precision_F_ci95_low,Precision_F_ci95_high,Recall_N_mean,Recall_N_std,Recall_N_ci95_low,Recall_N_ci95_high,Recall_S_mean,Recall_S_std,Recall_S_ci95_low,Recall_S_ci95_high,Recall_V_mean,Recall_V_std,Recall_V_ci95_low,Recall_V_ci95_high,Recall_F_mean,Recall_F_std,Recall_F_ci95_low,Recall_F_ci95_high
RAW_1D,FOCAL_A025_G3,selected_on_DS1,focal,10,51004,328228,12,134.3182366847992,"{""alpha_power"": 0.25, ""config_id"": ""FOCAL_A025_G3"", ""family"": ""focal"", ""gamma"": 3.0, ""kind"": ""focal""}",0.884146660495442,0.031414261498033884,0.8616742515862998,0.9066190694045841,0.8902863958952585,0.020750824231051887,0.8754421504766253,0.9051306413138916,0.4280685612053695,0.040331549223071715,0.3992171089394365,0.4569200134713025,0.0889137203845813,0.03952469683678696,0.06063945554529025,0.11718798522387235,0.011450994475895768,0.008258911926467645,0.005542924793347673,0.017359064158443863,0.02052170900478721,0.013226631406233093,0.0110599468853761,0.029983471124198323,0.950326768169963,0.017177853739112094,0.9380384718676316,0.9626150644722944,0.1663764462932668,0.0795080614448388,0.1094998054569561,0.22325308712957753,0.5841200358823524,0.09745236857802518,0.514406811015141,0.6538332607495638,0.011450994475895768,0.008258911926467645,0.005542924793347673,0.017359064158443863,0.969598919769129,0.005707653487034046,0.9655159104301908,0.9736819291080673,0.2451171186230551,0.10712082422340344,0.1684874972396804,0.3217467400064298,0.482797695223498,0.11169314541300507,0.402897232300745,0.5626981581462511,0.011013237576630058,0.010324885446818515,0.0036272594687099266,0.01839921568455019,0.9324082444404265,0.033632107702954994,0.908349283932174,0.956467204948679,0.13081110506260207,0.06919327532790422,0.08131321770883317,0.180308992416371,0.7553105590062112,0.07859514995287362,0.6990869757102339,0.8115341423021886,0.016237113402061853,0.011270351339249224,0.008174789738614983,0.024299437065508724
RAW_1D,BASELINE_CE,baseline,baseline,10,51004,328228,15,166.6451099872589,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.9036805988771054,0.02007222326323661,0.8893217953472092,0.9180394024070015,0.9017711303202107,0.01137413012025889,0.8936345677890736,0.9099076928513479,0.43875640714834646,0.015145005977691549,0.4279223225309701,0.4495904917657228,0.06577510968723019,0.01062352482338139,0.05817549783888575,0.07337472153557463,0.009479374167350663,0.006711645343125724,0.0046781523206011946,0.014280596014100132,0.017139511268384523,0.011122762568888622,0.009182766251061437,0.025096256285707608,0.9592522136466535,0.01111407682997556,0.9513016820326454,0.9672027452606615,0.12207084520710969,0.018563180739088858,0.10879154566829274,0.13535014474592663,0.6642231955722722,0.05063102618282859,0.6280039413351093,0.700442449809435,0.009479374167350663,0.006711645343125724,0.0046781523206011946,0.014280596014100132,0.9666897362941897,0.00990259219850953,0.9596058485777997,0.9737736240105798,0.20565476954872874,0.06558669121675895,0.15873687704589542,0.25257266205156204,0.5648414549795342,0.05716228908400965,0.523950016721186,0.6057328932378824,0.015478942972618287,0.019775105440113128,0.0013326847293857694,0.029625201215850806,0.9522441692279877,0.0216662091373734,0.93674509689498,0.9677432415609954,0.08943930321175832,0.012571720919403524,0.08044603583190492,0.09843257059161171,0.8084782608695653,0.04366617431843697,0.7772413615127807,0.83971516022635,0.010567010309278351,0.008280467876303429,0.0046435204291500895,0.016490500189406614
STFT_2D,WGAN_GP_X5,selected_on_DS1,wgan_gp,10,56436,318885,10,108.25175313949585,"{""config_id"": ""WGAN_GP_X5"", ""family"": ""wgan_gp"", ""kind"": ""wgan_gp"", ""wgan_factor"": 5}",0.9238262934417323,0.021746468097796356,0.9082698073071186,0.939382779576346,0.9242671333497791,0.01795093725929503,0.9114258064123789,0.9371084602871792,0.5634537485758686,0.04798800857816251,0.5291251952348524,0.5977823019168849,0.24398810464997617,0.07240250674336011,0.19219447144024615,0.2957817378597062,0.014327273243875357,0.008195594872802863,0.008464497852933198,0.020190048634817517,0.027582177976844167,0.015344844561230938,0.016605137448649998,0.03855921850503834,0.9595386977743395,0.011298292123896844,0.9514563864776363,0.9676210090710428,0.47364893605607683,0.14310635225252386,0.37127681868143386,0.5760210534307197,0.8063000872291826,0.0986841649713076,0.7357056883052651,0.8768944861531001,0.014327273243875357,0.008195594872802863,0.008464497852933198,0.020190048634817517,0.9655841341349893,0.005881765532870402,0.9613765725416463,0.9697916957283323,0.6850637914759605,0.08893580661411565,0.6214429480249094,0.7486846349270116,0.7249231564873396,0.15268954331545886,0.6156956372044203,0.8341506757702589,0.0201923989026799,0.02757403755665612,0.00046712071054409027,0.03991767709481571,0.9539165612005064,0.024021423763974745,0.9367326698192746,0.9711004525817382,0.3744148067501361,0.15318518054106722,0.264832729955013,0.4839968835452592,0.9329503105590062,0.017379870292362997,0.9205175003201828,0.9453831207978297,0.017783505154639175,0.011032078603087291,0.009891631538514481,0.025675378770763868
STFT_2D,BASELINE_CE,baseline,baseline,10,51004,318885,10,98.47993743419647,"{""config_id"": ""BASELINE_CE"", ""family"": ""baseline"", ""kind"": ""baseline""}",0.9163765520294611,0.012878718556129059,0.907163671770054,0.9255894322888683,0.9219366036637995,0.00908293786035184,0.9154390613387339,0.9284341459888651,0.568196455476207,0.031042695811212433,0.5459898486471608,0.5904030623052532,0.23241572329804056,0.069103120349199,0.18298232893089766,0.28184911766518345,0.010537916244914292,0.004273443035602739,0.0074808792570480965,0.013594953232780486,0.02045935579343496,0.008064762426001248,0.014690172296839686,0.02622853929003023,0.9543130698696718,0.007729243426380173,0.9487839022065457,0.9598422375327978,0.4542935303511668,0.13822895867828966,0.3554104901530754,0.5531765705492582,0.8536413054390751,0.05362806551923581,0.8152780984150946,0.8920045124630557,0.010537916244914292,0.004273443035602739,0.0074808792570480965,0.013594953232780486,0.9623996302840905,0.005720218475466419,0.9583076324939035,0.9664916280742775,0.6825028106056431,0.1033923117325706,0.6085404063816494,0.7564652148296368,0.7937415686349099,0.09950858132894444,0.7225574177761471,0.8649257194936726,0.007050269580627823,0.0033372582460572766,0.004662938847244216,0.00943760031401143,0.9465580365214248,0.017035725173617677,0.934371412869958,0.9587446601728916,0.3495372890582471,0.13286254834693884,0.2544931475510547,0.44458143056543953,0.9327329192546584,0.020277809412922298,0.9182270482528091,0.9472387902565077,0.022422680412371134,0.005833073950779367,0.018249950678540423,0.026595410146201846
