,pred_N,pred_S,pred_V,pred_F
true_N,41883.3,247.4,733.4,1383.9
true_S,1099.9,642.1,93.1,1.9
true_V,180.0,30.5,3003.4,6.1
true_F,359.9,0.3,19.1,8.7
