representation,metric,candidate_config_id,baseline_config_id,n_paired_seeds,candidate_mean,baseline_mean,mean_difference_candidate_minus_baseline,mean_difference_ci95_low,mean_difference_ci95_high,median_difference_candidate_minus_baseline,paired_cohens_dz,wins_candidate,ties,wins_baseline,wilcoxon_p_raw,wilcoxon_p_holm,significant_holm_0_05
STFT_2D,Min_Rare_F1,WGAN_GP_X5,BASELINE_CE,10,0.014327273243875357,0.010537916244914292,0.0037893569989610664,-0.001125489149321473,0.008704203147243607,0.0032599406122756874,0.5515417200616343,7,0,3,0.130859375,0.392578125,False
STFT_2D,Rare_Macro_SF,WGAN_GP_X5,BASELINE_CE,10,0.24398810464997617,0.23241572329804056,0.011572381351935588,-0.05264267200844985,0.07578743471232102,-0.008448346654345712,0.12891654659816537,5,0,5,0.845703125,1.0,False
STFT_2D,Macro_F1,WGAN_GP_X5,BASELINE_CE,10,0.5634537485758686,0.568196455476207,-0.004742706900338389,-0.04512227497618513,0.03563686117550836,0.0077815402191640515,-0.08402091195881313,5,0,5,0.921875,1.0,False
RAW_1D,Min_Rare_F1,FOCAL_A025_G3,BASELINE_CE,10,0.011450994475895768,0.009479374167350663,0.0019716203085451056,-0.0060722728390601105,0.010015513456150323,0.0017938215555341331,0.17533950014297534,6,0,4,0.6953125,1.0,False
RAW_1D,Rare_Macro_SF,FOCAL_A025_G3,BASELINE_CE,10,0.0889137203845813,0.06577510968723019,0.023138610697351104,-0.0017770142018887665,0.04805423559659097,0.014918007766411646,0.6643367374595038,8,0,2,0.01953125,0.05859375,False
RAW_1D,Macro_F1,FOCAL_A025_G3,BASELINE_CE,10,0.4280685612053695,0.43875640714834646,-0.010687845942977009,-0.04600900336897082,0.024633311483016798,-0.010428836426476268,-0.2164601888108412,4,0,6,0.556640625,1.0,False
