,pred_N,pred_S,pred_V,pred_F
true_N,42134.9,476.1,1069.0,568.0
true_S,717.4,164.3,952.4,2.9
true_V,373.7,228.2,2603.3,14.8
true_F,367.1,6.4,10.4,4.1
