representation,config_id,role,seed,record_id,n_beats,confusion_json,Accuracy,Support_N,Predicted_N,TP_N,FP_N,FN_N,Precision_N,Recall_N,F1_N,Support_S,Predicted_S,TP_S,FP_S,FN_S,Precision_S,Recall_S,F1_S,Support_V,Predicted_V,TP_V,FP_V,FN_V,Precision_V,Recall_V,F1_V,Support_F,Predicted_F,TP_F,FP_F,FN_F,Precision_F,Recall_F,F1_F,Macro_F1_present_classes,Rare_Macro_present_classes,Min_Rare_present_classes
RAW_1D,BASELINE_CE,baseline,7101,231,1571,"[[1541, 26, 1, 0], [1, 0, 0, 0], [0, 1, 1, 0], [0, 0, 0, 0]]",0.9815404201145767,1568,1542,1541,1,27,0.9993514915693904,0.982780612244898,0.9909967845659164,1,27,0,27,1,0.0,0.0,0.0,2,2,1,1,1,0.5,0.5,0.5,0,0,0,0,0,,,,0.49699892818863883,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7101,232,1780,"[[396, 0, 2, 0], [530, 25, 827, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.23651685393258426,398,926,396,530,2,0.42764578833693306,0.9949748743718593,0.5981873111782477,1382,25,25,0,1357,1.0,0.01808972503617945,0.03553660270078181,0,829,0,829,0,0.0,,,0,0,0,0,0,,,,0.3168619569395148,0.03553660270078181,0.03553660270078181
RAW_1D,BASELINE_CE,baseline,7101,233,3077,"[[2190, 0, 8, 31], [1, 1, 5, 0], [74, 6, 747, 3], [5, 0, 3, 3]]",0.9558011049723757,2229,2270,2190,80,39,0.9647577092511013,0.9825033647375505,0.973549677706157,7,7,1,6,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,830,763,747,16,83,0.9790301441677588,0.9,0.9378531073446328,11,37,3,34,8,0.08108108108108109,0.2727272727272727,0.125,0.5448149819769832,0.13392857142857142,0.125
RAW_1D,BASELINE_CE,baseline,7101,234,2753,"[[2687, 0, 0, 13], [30, 19, 0, 1], [0, 0, 3, 0], [0, 0, 0, 0]]",0.984017435524882,2700,2717,2687,30,13,0.9889584100110416,0.9951851851851852,0.9920620269521876,50,19,19,0,31,1.0,0.38,0.5507246376811594,3,3,3,0,0,1.0,1.0,1.0,0,14,0,14,0,0.0,,,0.8475955548777824,0.5507246376811594,0.5507246376811594
RAW_1D,BASELINE_CE,baseline,7102,100,2272,"[[2238, 0, 0, 0], [2, 31, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.9991197183098591,2238,2240,2238,2,0,0.9991071428571429,1.0,0.9995533720410897,33,31,31,0,2,1.0,0.9393939393939394,0.96875,1,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9894344573470298,0.96875,0.96875
RAW_1D,BASELINE_CE,baseline,7102,103,2084,"[[2082, 0, 0, 0], [1, 1, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9995201535508638,2082,2083,2082,1,0,0.99951992318771,1.0,0.9997599039615847,2,1,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0,0,,,,0,0,0,0,0,,,,0.8332132853141256,0.6666666666666666,0.6666666666666666
RAW_1D,BASELINE_CE,baseline,7102,105,2567,"[[2507, 1, 15, 3], [0, 0, 0, 0], [2, 4, 35, 0], [0, 0, 0, 0]]",0.9902610050642774,2526,2509,2507,2,19,0.9992028696691909,0.9924782264449723,0.9958291956305859,0,5,0,5,0,0.0,,,41,50,35,15,6,0.7,0.8536585365853658,0.7692307692307693,0,3,0,3,0,0.0,,,0.8825299824306776,,
RAW_1D,BASELINE_CE,baseline,7102,111,2124,"[[2120, 0, 3, 0], [0, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",0.998587570621469,2123,2120,2120,0,3,1.0,0.9985869053226566,0.9992929530992223,0,0,0,0,0,,,,1,4,1,3,0,0.25,1.0,0.4,0,0,0,0,0,,,,0.6996464765496111,,
RAW_1D,BASELINE_CE,baseline,7102,113,1794,"[[1788, 0, 0, 0], [1, 0, 5, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.9966555183946488,1788,1789,1788,1,0,0.9994410285075461,1.0,0.9997204361196533,6,0,0,0,6,,0.0,0.0,0,5,0,5,0,0.0,,,0,0,0,0,0,,,,0.49986021805982667,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7102,117,1534,"[[1533, 0, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",0.999348109517601,1533,1533,1533,0,0,1.0,1.0,1.0,1,0,0,0,1,,0.0,0.0,0,1,0,1,0,0.0,,,0,0,0,0,0,,,,0.5,0.0,0.0
RAW_1D,BASELINE_CE,baseline,7102,121,1863,"[[1861, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 0]]",1.0,1861,1861,1861,0,0,1.0,1.0,1.0,1,1,1,0,0,1.0,1.0,1.0,1,1,1,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,1.0,1.0,1.0
RAW_1D,BASELINE_CE,baseline,7102,123,1518,"[[1512, 3, 0, 0], [0, 0, 0, 0], [0, 0, 3, 0], [0, 0, 0, 0]]",0.9980237154150198,1515,1512,1512,0,3,1.0,0.998019801980198,0.9990089197224975,0,3,0,3,0,0.0,,,3,3,3,0,0,1.0,1.0,1.0,0,0,0,0,0,,,,0.9995044598612488,,
